"","x"
"1","Shutdown Monitor"
"2","Bluetooth-Datenübertragung"
"3","Software Update"
"4","Bluetooth Services"
"5","Samsung-Tastatur"
"6","Paketinstallationsprogr."
"7","Samsung Push Service"
"8","Market Feedback Agent"
"9","Samsung keyboard"
"10","Bluetooth Share"
"11","Smart Connect™"
"12","Agente comentarios Market"
"13","Teclado Xperia™"
"14","Barrido panorámico"
"15","Xperia™ con Facebook"
"16","PassAndroid"
"17","Temas de Xperia™"
"18","Compartir con Bluetooth"
"19","Update Center"
"20","Softwareupdate"
"21","Bildschirmeinstellungen sperren"
"22","InCallUI"
"23","Telefonnummer"
"24","R2R Client"
"25","STAMINA-Modus"
"26","Android System WebView"
"27","USB-Verbindung"
"28","TotalCmd-WLAN-Transfer"
"29","Xperia™ Lounge"
"30","myAndroidLogger"
"31","Bluetooth-Freigabe"
"32","Beaming Service"
"33","Samsung In-App Purchase"
"34","com.sec.android.mimage.photoretouching"
"35","German Lang Pack for AndrOpen Office"
"36","English (US) Lang Pack for AndrOpen Office"
"37","Aktive Anwendungen"
"38","Samsung Link Platform"
"39","Info Dienste"
"40","PopupuiReceiver"
"41","Druckdienste-Plug-In von Samsung"
"42","Blurb – Kasse"
"43","HM1200"
"44","Samsung Galaxy"
"45","Zertifikats-Installer"
"46","Software-Update"
"47","Smartphone Hilfe"
"48","HP Druckdienst-Plugin"
"49","Druck-Service-Plug-In von Samsung"
"50","Multimedia UI Service Layer"
"51","Sicherheitsrichtlinien-Updates"
"52","Samsung Konto"
"53","WhatsApp Wallpaper"
"54","Cocktailbar service"
"55","Samsung Text-zu-Sprache-Engine"
"56","Touch Screen"
"57","JVC UNIT        "
"58","com.facebook.system"
"59","com.facebook.appmanager"
"60","EmergencyManagerService"
"61","Bluetooth"
"62","HTML-Anzeige"
"63","com.tripadvisor.tripadvisor"
"64","Tastenfeld"
"65","Audi MMI 1540"
"66","Netzwerkstandort"
"67","SensMe™ slideshow"
"68","Paket-Installer"
"69","com.google.android.apps.docs"
"70","towelroot"
"71","CM Security"
"72","Package installer"
"73","SNS"
"74","Ein-/Abschaltung nach Zeitplan"
"75","Seitenmanager"
"76","Funkverbindungsservice"
"77","Backup to Gmail"
"78","Shutdown Animation"
"79","Hintergrundbilder"
"80","Backup Text for WhatsApp+"
"81","Info-eye™"
"82","Screen Off and Lock"
"83","FTPServer"
"84","Remote Control Service"
"85","Zertifikat-Installer"
"86","VpnDialogs"
"87","MC00"
"88","Geräte"
"89","LiveView™ Anwendung"
"90","Aktualisierung"
"91","CardDAV-Sync free"
"92","HtcMobileData"
"93","UDove"
"94","Keepass2Android"
"95","HTC-Konto"
"96","Sound-Wähler"
"97","WLAN-Hotspot"
"98","HTC Guide"
"99","HTC Sense Input"
"100","HTC Service Pack"
"101","CalDAV-Sync"
"102","Power"
"103","Medienspeicher"
"104","Microsoft Remote Desktop"
"105","Sprachsuche"
"106","Java Manager"
"107","SamsungHub Updater"
"108","Hilfe"
"109","AppInstaller"
"110","SIM-Toolkit"
