"Name","Category_old","Category_new"
"2048 plus","Casual","Puzzle"
"Album","Music & Audio","Photography"
"Alltagsrechner","Productivity","Tools"
"Amazon","Unknown","Shopping"
"Amazon Music","Shopping","Music & Audio"
"Amazon Music","Music &amp; Audio","Music & Audio"
"AnyConnect","Unknown","Business"
"AnyMemo","Education","Tools"
"App des Tages","Unknown","Lifestyle"
"AquaMail","Productivity","Communication"
"Barcode Scanner","Shopping","Tools"
"Barcode Scanner","Unknown","Tools"
"BBC News","News &amp; Magazines","News & Magazines"
"CamScanner","Productivity","Tools"
"Chrome","Communication","Browser"
"cLock","Personalization","Tools"
"cLock","Unknown","Tools"
"Design-Galerie","Unknown","Photography"
"Dialer","Unknown","Communication"
"Dictionary","Books & Reference","Education"
"Dictionary","Unknown","Education"
"Dictionary","Books &amp; Reference","Education"
"Dolphin Browser","Communication","Browser"
"DS audio","Music &amp; Audio","Music & Audio"
"E-Mail","Business","Communication"
"E-Mail","Tools","Communication"
"E-Mail","Unknown","Communication"
"Einstellungen","Unknown","Productivity"
"F-Droid","Unknown","Entertainment"
"Filme","Personalization","Media & Video"
"Filme","Unknown","Media & Video"
"Flashlight","Unknown","Tools"
"Free Mp3 Downloader","Unknown","Music & Audio"
"FUSSBALL.DE","Unknown","News & Magazines"
"GIF Player","Media & Video","Entertainment"
"GIF Player","Media &amp; Video","Entertainment"
"Google-Suche","Unknown","Tools"
"Google Dialer","Unknown","Communication"
"Google Play Movies","Photography","Media & Video"
"Google Play Movies","Media &amp; Video","Media & Video"
"Google Play Music","Music &amp; Audio","Music & Audio"
"Google Play Store","Unknown","Tools"
"Google+","News & Magazines","Social"
"Handcent Sms","Unknown","Communication"
"Internet","Communication","Browser"
"Internet","Tools","Browser"
"Internet","Unknown","Browser"
"Kalender","Unknown","Productivity"
"Kamera","Tools","Photography"
"Kamera","Unknown","Photography"
"kaufDA","Unknown","Shopping"
"Kontakte","Unknown","Communication"
"Mail","Productivity","Communication"
"Mathaeser","Entertainment","Education"
"MathsApp","Tools","Education"
"MaxOffice","Tools","Business"
"MaxOffice","Unknown","Business"
"Mein Kalender","Health & Fitness","Productivity"
"Mein Kalender","Unknown","Productivity"
"Mein Kalender","Health &amp; Fitness","Productivity"
"Memo","Business","Tools"
"Memo","Communication","Tools"
"Memo","Unknown","Tools"
"Minimal Clock","Personalization","Tools"
"Mobile Security & Antivirus","Productivity","Tools"
"MortPlayer Music","Music &amp; Audio","Music & Audio"
"MP3dit","Music &amp; Audio","Music & Audio"
"Musik","Media & Video","Music & Audio"
"Musik","Unknown","Music & Audio"
"My Magazine","Sports","News & Magazines"
"My Magazine","Unknown","News & Magazines"
"My Movies Pro","Lifestyle","Media & Video"
"N24 News","News &amp; Magazines","News & Magazines"
"News & Wetter","News &amp; Magazines","News & Magazines"
"Notizen","Personalization","Productivity"
"Notizen","Unknown","Productivity"
"Notizen Widget","Unknown","Productivity"
"Office Mobile","Productivity","Business"
"Opera","Communication","Browser"
"Opera Max","Tools","Communication"
"Opera Max","Unknown","Communication"
"Outlook.com","Unknown","Communication"
"Photon Browser","Communication","Browser"
"Quickoffice","Unknown","Business"
"Radio","Productivity","Music & Audio"
"Radio","Unknown","Music & Audio"
"Rechner","Arcade","Tools"
"Rechner","Productivity","Tools"
"Rechner","Unknown","Tools"
"Rocket Player","Music & Audio","Entertainment"
"Rocket Player","Music &amp; Audio","Entertainment"
"S Memo","Productivity","Tools"
"S Memo","Unknown","Tools"
"S Planner","Unknown","Productivity"
"Samsung Music","Music &amp; Audio","Music & Audio"
"Samsung TV","Business","Entertainment"
