,Gender,Age,Education_lev,fluidIQ,freq_calls,freq_Tools,freq_Finance,freq_Games,freq_Entertainment,freq_Productivity,freq_Personalization,freq_News...Magazines,freq_Unknown,freq_Photography,freq_Shopping,freq_Communication,freq_Books...Reference,freq_Travel...Local,freq_Music...Audio,freq_Medical,freq_Education,freq_Business,freq_Lifestyle,freq_Transportation,freq_Weather,freq_Sports,freq_Browser,freq_Health...Fitness,freq_Media...Video,freq_Social,freq_Comics,dur_calls,dur_Tools,dur_Finance,dur_Games,dur_Entertainment,dur_Productivity,dur_Personalization,dur_News...Magazines,dur_Unknown,dur_Photography,dur_Shopping,dur_Communication,dur_Books...Reference,dur_Travel...Local,dur_Music...Audio,dur_Medical,dur_Education,dur_Business,dur_Lifestyle,dur_Transportation,dur_Weather,dur_Sports,dur_Browser,dur_Health...Fitness,dur_Media...Video,dur_Social,dur_Comics
24,2,20,4,0.4028,202,147,0,161,11,61,0,4,19,51,0,1609,4,161,8,0,0,0,0,0,0,0,128,0,4,375,0,44.43069307,18.82583165,0.0,350.9396192,41.33333333,51.47012768,0.0,151.0,5.55182975,38.47805209,0.0,30.6377047,0.0,41.71776583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.74156659,0.0,0.0,26.82611337,0.0
119,2,22,4,0.8666,305,129,0,83,0,68,0,4,5,64,0,1650,2,17,41,0,2,0,11,72,0,2,294,0,40,6,0,80.33114754,15.16636712,0.0,215.99432439999998,0.0,19.87224341,0.0,0.0,2.426143192,17.24838175,0.0,32.13346066,0.0,67.38940255,28.3822877,0.0,93.0,0.0,87.0,50.23628309,0.0,0.0,123.43401340000001,0.0,490.8329471,0.0,0.0
117,1,23,5,1.3298,31,247,0,185,21,729,0,14,36,459,0,3754,8,0,23,0,0,19,30,0,38,0,468,99,30,10,0,0.0,11.22501718,0.0,64.69223387,38.44444444,9.057993372,0.0,24.0,2.524809916,27.50858792,0.0,50.78287851,0.0,0.0,6.345890657000001,0.0,0.0,27.78185366,47.40803711,0.0,22.68168219,0.0,66.56704542,5.017982277,23.86403641,0.0,0.0
113,2,19,4,0.5920000000000001,71,208,0,88,62,130,0,26,19,132,15,1591,2,52,123,0,0,0,159,34,1,38,505,104,17,1351,2,0.0,18.07440178,0.0,1148.885365,91.09656587,24.21117325,0.0,124.20159240000001,4.7527352789999995,26.13726145,98.64625965,53.26780233,0.0,46.50055549,15.23661094,0.0,0.0,0.0,17.88004756,61.16138524,21.0,49.20003148,48.39914859,69.0891,35.29781385,73.13441014,0.0
38,1,22,4,0.8775,22,286,45,153,71,111,0,56,18,33,10,636,19,42,141,0,0,8,0,69,17,30,70,14,9,56,0,47.72727273,23.95321953,53.11009867,318.9704465,67.59333689,32.19167175,0.0,44.27511561,2.0,19.21232776,0.0,38.67716324,19.55555556,46.89267854,12.59983913,0.0,0.0,51.0,0.0,50.30886517,15.53846154,77.84019083,104.43043709999999,17.5571593,2.0,64.07199203,0.0
22,2,20,4,0.08199999999999999,209,245,0,243,35,119,0,0,25,194,23,1769,13,48,40,0,0,23,0,134,44,0,411,0,61,303,0,55.6937799,11.29367239,0.0,74.17537699,167.9766378,24.54699763,0.0,0.0,3.224737975,19.05312019,34.64306662,31.966393699999998,35.29183203,51.16850145,43.12176279,0.0,0.0,41.54785039,0.0,50.81745255,8.342008316,0.0,83.09725995,0.0,47.56951088,50.79051185,0.0
96,2,19,4,0.1788,105,2130,2,8,240,734,0,11,1598,1257,30,5383,64,75,87,294,3,65,9,70,38,0,946,20,121,687,0,24.98095238,5.2506266660000005,1.0,0.0,49.31526816,22.29202448,0.0,0.0,2.900576305,14.14434844,205.21087980000001,29.30710795,60.01638114,35.22626149,10.68551297,64.62607465,2.0,15.49760972,73.0,47.76753518,7.9174402960000005,0.0,65.96712612,213.33712319999998,1.741676442,84.99214435,0.0
6,1,23,5,0.4192,47,459,0,9,135,447,0,10,33,134,0,1433,24,84,12,0,37,51,0,53,29,0,104,14,28,308,0,684.212766,10.14007354,0.0,19.16803834,19.19088003,14.40957806,0.0,6.392009,3.818803305,13.75297893,0.0,21.94138453,3.32667374,17.31003904,3.995560298,0.0,20.62502464,5.435565389,0.0,20.76975594,2.0,0.0,33.79831795,18.47335548,20.48699104,22.69359604,0.0
98,2,27,5,0.9759,75,223,0,0,10,306,0,97,24,273,0,3518,4,144,395,0,0,4,0,0,0,0,1001,0,6,557,0,32.96,9.140533158,0.0,0.0,0.0,4.098828152,0.0,9.507027969,2.480491574,32.72182132,0.0,29.85066366,0.0,30.74690714,2.529880845,0.0,0.0,28.560128600000002,0.0,0.0,0.0,0.0,73.88792625,0.0,2.0,35.97496721,0.0
56,2,26,4,0.6243,113,227,12,10,93,332,0,80,37,296,5,1848,57,132,68,2,49,21,165,128,0,0,400,40,66,12,0,19.16814159,29.31556468,63.44444444,897.4444444000001,165.02476069999997,30.08939912,0.0,106.64804009999999,5.852808177000001,22.88166326,44.91010023,44.60897006,50.86576218,69.24430794,17.84650042,4.0,83.36984404,61.23893289,28.81750795,44.11879962,0.0,0.0,91.3301266,24.98701879,35.64563897,123.6,0.0
