,Emotional Stability,Extraversion,Openness,Conscientiousness,Agreeableness
24,0,1,0,0,0
119,1,1,1,1,1
117,0,0,0,0,0
113,1,0,0,0,1
38,1,0,0,1,0
22,1,1,0,0,0
96,1,1,1,1,1
6,0,0,0,1,0
98,0,0,0,1,0
56,0,1,0,1,0
36,1,1,1,1,1
129,1,1,0,1,1
58,1,1,1,1,0
33,0,0,0,0,0
15,0,0,1,0,0
57,1,1,1,1,1
12,0,0,0,1,0
93,0,0,1,0,1
55,0,0,1,0,0
125,1,1,1,1,1
88,0,0,0,1,0
133,0,0,0,1,0
107,0,0,1,0,0
63,0,1,1,1,1
80,1,0,0,0,0
4,1,1,0,1,0
30,1,0,0,0,0
69,0,0,0,0,0
136,1,1,0,0,1
84,1,1,1,0,1
76,0,0,0,0,0
68,1,1,0,1,0
92,1,1,1,1,1
5,1,0,0,1,0
47,0,0,0,1,1
45,0,0,0,1,1
18,0,1,1,1,1
131,1,1,1,0,0
128,0,0,1,1,1
112,1,1,1,1,1
83,1,1,1,1,0
123,1,1,1,0,0
59,1,1,1,1,1
1,1,0,1,1,0
0,0,0,0,0,0
60,1,0,1,0,1
89,0,1,0,0,0
3,0,0,0,0,0
66,1,1,1,0,0
121,0,0,0,0,1
28,0,0,0,1,1
23,0,0,0,1,1
19,0,0,1,1,0
106,0,1,1,0,1
29,0,0,0,1,1
49,1,0,1,1,1
32,0,1,1,0,0
87,1,0,0,1,1
101,0,0,0,1,0
110,1,1,0,0,0
35,0,0,0,0,0
81,1,1,0,0,1
116,1,0,0,1,0
135,1,0,1,1,0
85,0,1,0,0,0
104,1,0,1,1,0
86,0,1,1,0,1
27,0,1,1,0,0
10,0,1,1,1,1
41,0,0,0,0,0
71,1,0,0,0,1
102,1,1,1,1,1
79,1,0,0,1,1
70,1,1,0,0,0
25,1,0,0,0,0
34,1,1,1,0,1
126,1,0,0,1,0
100,0,1,1,0,1
42,1,1,1,1,1
65,1,1,1,1,1
46,0,0,1,0,0
21,1,1,0,0,1
130,0,1,0,0,1
127,1,1,1,1,1
39,0,1,1,0,1
99,1,1,0,1,0
115,1,1,1,0,1
50,0,0,1,0,1
53,1,1,1,1,1
134,0,1,1,1,0
95,0,0,1,1,1
94,0,0,0,0,0
111,1,1,0,0,1
74,0,1,0,0,0
40,0,0,0,0,1
31,1,1,1,0,0
11,1,1,1,1,1
37,0,0,0,0,0
9,1,1,1,0,1
132,0,0,0,1,1
62,0,1,1,1,1
91,1,1,1,1,0
