,Gender,Age,Education_lev,fluidIQ,freq_calls,freq_Tools,freq_Finance,freq_Games,freq_Entertainment,freq_Productivity,freq_Personalization,freq_News...Magazines,freq_Unknown,freq_Photography,freq_Shopping,freq_Communication,freq_Books...Reference,freq_Travel...Local,freq_Music...Audio,freq_Medical,freq_Education,freq_Business,freq_Lifestyle,freq_Transportation,freq_Weather,freq_Sports,freq_Browser,freq_Health...Fitness,freq_Media...Video,freq_Social,freq_Comics,dur_calls,dur_Tools,dur_Finance,dur_Games,dur_Entertainment,dur_Productivity,dur_Personalization,dur_News...Magazines,dur_Unknown,dur_Photography,dur_Shopping,dur_Communication,dur_Books...Reference,dur_Travel...Local,dur_Music...Audio,dur_Medical,dur_Education,dur_Business,dur_Lifestyle,dur_Transportation,dur_Weather,dur_Sports,dur_Browser,dur_Health...Fitness,dur_Media...Video,dur_Social,dur_Comics
97,1,19,4,0.4926,43,151,0,0,39,254,0,0,1999,114,0,1671,38,19,228,0,0,0,0,78,22,0,111,0,0,0,0,51.046511627907,89.6993233914711,0.0,0.0,46.627199342232,24.403594474499897,0.0,0.0,2.7551792273231803,24.1324647968927,0.0,38.8719692855453,27.6250353045823,47.4166666666667,18.649207978198,0.0,0.0,0.0,0.0,52.767694244917294,12.6360167120364,0.0,82.3847916278534,0.0,0.0,0.0,0.0
73,1,32,4,-0.1564,1011,314,0,0,9,57,0,0,6,74,0,2318,0,5,40,0,0,0,0,0,9,0,109,0,0,49,0,74.6973293768546,23.5851961636685,0.0,0.0,10.0,15.9600489484534,0.0,0.0,5.8270174013353095,26.4203978390597,0.0,10.8975481377143,0.0,37.8268717847786,9.664302884160278,0.0,0.0,0.0,0.0,0.0,13.293382013187198,0.0,74.19294637129309,0.0,0.0,23.5481934481666,0.0
71,1,21,4,1.0024,174,187,42,545,97,96,0,1,8,101,3,1826,18,36,9,0,0,8,15,61,0,111,61,15,0,0,9,72.60919540229891,14.6217178418556,42.4362816869082,145.529174706683,42.1719882977555,29.9419093269595,0.0,2.0,3.55523055210558,24.679109058687896,30.0,34.124793072347195,114.435482741603,50.65,16.6400278181661,0.0,0.0,0.0,138.156211067053,43.847457627118594,0.0,145.421131468863,58.30771017795939,26.2050505874406,0.0,0.0,103.36516495346001
44,2,24,5,-0.0598,62,191,0,60,12,210,0,15,21,156,0,1113,17,58,89,0,23,32,0,48,5,0,192,0,20,10,0,0.0,18.351421173151603,0.0,149.98718819593,0.0,18.3997935052221,0.0,3.0,3.27128150606022,45.830111477347096,0.0,65.0545347274815,58.733650221187894,70.6360752205496,15.6172955107368,0.0,647.215582393405,49.805238046606,0.0,49.810010486240394,21.0,0.0,123.38113279433901,0.0,138.0,0.0,0.0
108,1,21,4,0.5786,226,122,50,127,40,31,0,260,36,53,24,2477,6,35,104,0,5,32,59,51,18,370,196,2,25,6,0,61.8628318584071,5.6210970628924795,25.988778985668898,45.35296527775821,69.9654924309161,20.0571761213004,0.0,61.227718417490905,2.66527227852215,14.563846432164599,2.6666666666666696,15.576160580362401,1.5,50.3846153846154,17.195148389092697,0.0,130.6,23.747396024049397,22.182672044401897,40.0089278285277,7.80375623077444,45.1010749555839,42.887077813471606,45.5,74.71428571428571,0.0,0.0
131,2,18,4,1.2295,199,609,9,285,406,387,0,11,388,99,0,1874,114,58,186,0,56,34,0,108,17,0,224,0,16,374,0,174.86934673366798,6.681202052351201,46.8571428571429,198.61136475217,7.67841954306457,13.143844611131598,0.0,47.9267426606795,3.3346810150819395,16.0971030765798,0.0,25.546732809463702,17.1391709826476,46.4925045633634,7.7249465835215,0.0,22.2780829960086,50.114547001672,0.0,35.0257120321512,31.950018853306798,0.0,55.953365478048404,0.0,44.590085035370294,91.71563884529291,0.0
13,2,26,5,0.9162,332,193,0,9,23,170,0,85,3,11,0,1183,9,14,13,0,0,0,0,25,8,7,38,0,2,85,0,60.259036144578296,9.14549230823741,0.0,477.0,73.23076923076921,22.063169096240102,0.0,26.5739807395868,5.27443512585247,52.00012055909411,0.0,20.274593034896103,24.25,83.39217969258691,6.0,0.0,0.0,0.0,0.0,32.4095470973866,46.6666666666667,38.3333333333333,64.1808165080956,0.0,0.0,25.0691793458637,0.0
66,1,28,4,0.8435,735,286,0,0,42,139,0,79,377,73,0,1941,24,140,37,0,0,17,17,22,19,0,557,0,22,10,0,85.6775510204082,24.4696757115695,0.0,0.0,77.99170657818459,24.0333246171496,0.0,80.16043215210179,5.78713224832733,11.3568041107671,0.0,20.4807457504362,72.3081081365959,84.9109168800848,17.656672865566698,0.0,0.0,40.2142857142857,36.9901643300902,36.0,15.3684210526316,0.0,54.208920279792004,0.0,11.5154081759756,0.0,0.0
89,2,27,4,1.3434,143,194,31,138,16,182,0,10,51,255,25,2256,7,36,13,0,27,5,37,79,0,0,152,6,18,369,0,0.0,10.164754608401001,91.73194360793501,121.694637815824,45.1666666666667,16.9201561171802,0.0,0.0,3.1379112811730896,24.1755236273453,109.733333333333,32.5116878214196,8.0,72.5667166114807,2.2800057105660296,0.0,39.388004711894204,5.0,27.5871498849406,54.88468188286821,0.0,0.0,76.0678839967492,0.0,51.0,70.6956198715088,0.0
63,2,22,4,0.9043,350,412,0,0,28,60,1,8,3,53,0,1550,2,16,17,0,0,1,0,0,0,0,180,0,4,163,0,92.65428571428569,4.44865365604708,0.0,0.0,101.221710872098,24.447307522179102,2.0,0.0,2.96100012857066,9.01151478330407,0.0,32.3728070818458,0.0,21.1960031815455,8.48335319881293,0.0,0.0,52.0,0.0,0.0,0.0,0.0,58.713749181114295,0.0,0.0,74.0352095081548,0.0
