,Gender,Age,Education_lev,fluidIQ,freq_calls,freq_Tools,freq_Finance,freq_Games,freq_Entertainment,freq_Productivity,freq_Personalization,freq_News...Magazines,freq_Unknown,freq_Photography,freq_Shopping,freq_Communication,freq_Books...Reference,freq_Travel...Local,freq_Music...Audio,freq_Medical,freq_Education,freq_Business,freq_Lifestyle,freq_Transportation,freq_Weather,freq_Sports,freq_Browser,freq_Health...Fitness,freq_Media...Video,freq_Social,freq_Comics,dur_calls,dur_Tools,dur_Finance,dur_Games,dur_Entertainment,dur_Productivity,dur_Personalization,dur_News...Magazines,dur_Unknown,dur_Photography,dur_Shopping,dur_Communication,dur_Books...Reference,dur_Travel...Local,dur_Music...Audio,dur_Medical,dur_Education,dur_Business,dur_Lifestyle,dur_Transportation,dur_Weather,dur_Sports,dur_Browser,dur_Health...Fitness,dur_Media...Video,dur_Social,dur_Comics,Emotional Stability,Extraversion,Openness,Conscientiousness,Openness
1,1,23,4,0.7251,120,414,0,40,51,553,0,8,31,260,52,1930,3,128,113,0,11,1,7,153,0,184,231,176,1,8,0,80.50833333,19.98923409,0,474.1497414,66.14281193,27.29980671,0,63.48294756,5.594865643,22.30645631,62.54180805,60.22236339,102,66.64077967,19.27336697,0,35.31607592,4,60.66666667,55.46902727,0,124.4473711,72.5028561,125.3829965,140,0,0,0,0,0,0,0
2,1,21,4,0.9921,98,239,3,0,21,88,0,4,42,113,23,3430,5,19,4,0,0,7,0,34,0,0,187,0,1,211,0,176.2142857,21.20123595,77,0,292.6953664,29.82364569,0,0,2.149066178,16.75314657,90.80437962,42.19741093,52,53.70294692,0,0,0,24.28571429,0,74.58764491,0,0,95.82911038,0,0,82.58195373,0,1,0,1,1,1
3,2,22,5,0.5541,226,135,0,347,6,75,0,9,6,40,19,1068,12,20,2,0,69,3,0,47,0,0,101,0,0,277,0,84.90265487,27.01911868,0,178.964202,0,32.31286558,0,95.70033411,5.062646992,38.57736159,39.38915277,25.36169218,35.66006042,149.4561409,20,0,239.753781,3.666666667,0,65.97745403,0,0,86.09905171,0,0,78.25343177,0,0,0,1,0,1
4,2,34,5,0.7387,89,157,0,0,41,75,2,4,3625,102,0,3140,256,108,21,0,0,9,0,3,108,0,263,53,4,118,0,35.31460674,20.67772305,0,0,84.17302801,31.06952229,99,0,3.227028832,17.03065505,0,41.0594892,30.19328458,42.85790792,15.2534274,0,0,11.40574214,0,2,28.18058227,0,50.14630932,37.60006769,0,63.63065532,0,0,0,0,0,0
5,2,23,4,0.9785,244,140,0,164,20,140,1,0,3284,266,0,2153,14,141,13,0,0,0,0,6,72,0,363,0,10,15,0,98.16393443,8.812731666,0,43.50091128,3.621454678,14.40982493,6,0,2.502265076,11.13279816,0,26.96856481,67.71268845,48.22320658,2.245005873,0,0,0,0,77.33333333,3.812671375,0,30.3355293,0,9,16.40000874,0,1,1,0,1,0
6,1,25,5,0.2092,244,44,0,3,4,29,0,4,8,5,0,716,2,23,27,0,0,1,0,0,3,0,166,2,0,2,0,149.4795082,12.00968459,0,563,0,16.81278877,0,0,5.079446021,87.79524612,0,18.37842626,0,28.40383971,9.307286082,0,0,30,0,0,36.03995545,0,138.688685,157,0,0,0,1,0,0,1,0
7,1,23,5,0.4192,47,459,0,9,135,447,0,10,33,134,0,1433,24,84,12,0,37,51,0,53,29,0,104,14,28,308,0,684.212766,10.14007354,0,19.16803834,19.19088003,14.40957806,0,6.392009,3.818803305,13.75297893,0,21.94138453,3.32667374,17.31003904,3.995560298,0,20.62502464,5.435565389,0,20.76975594,2,0,33.79831795,18.47335548,20.48699104,22.69359604,0,0,0,0,1,0
8,2,18,4,0.5361,368,926,0,121,508,202,0,7,34,443,3,6019,12,192,183,45,28,23,1,0,60,0,624,47,27,1344,0,31.77717391,16.14354479,0,183.0877726,182.9771809,12.09148269,0,8.25,2,23.75715297,0,29.53211636,10.9900149,37.44336046,21.06382914,2,50.88158524,23.95005612,0,0,3.667832625,0,38.1785204,25.63953583,43.18241675,48.54851869,0,0,1,1,1,1
9,2,20,4,0.2676,129,493,84,2,94,228,20,24,240,635,1,4575,25,33,27,0,2,39,4,21,13,0,1494,0,39,365,0,0,6.182717756,36.3194792,207,77.82347197,18.90572311,1.209473494,2,3.091655956,20.49818316,6,33.95611964,29.71402851,61.94677316,8.087628033,0,0,46.11771882,0,57.8,2,0,59.6718029,0,17.58969703,65.20705878,0,0,0,0,0,0
10,2,21,4,0.259,37,204,0,387,23,269,0,84,19,126,91,2086,17,21,15,75,0,11,7,316,2,0,446,6,14,95,0,241.8648649,9.991115875,0,366.9015221,18.60673837,15.44263461,0,79.57480968,3.507751075,24.26108448,115.4935021,37.60315129,47.04004995,33.57142857,71.18181818,7.461809137,0,20.45505281,28.93507239,50.76166068,0,0,53.72271553,65.86515532,12.09113414,34.76515632,0,1,1,1,0,1
