,index,instance,trait,trait_predicted,low_prob,high_prob,most_contribute_1,most_contribute_2,most_contribute_3,most_contribute_4,most_contribute_5,most_contribute_to_low,most_contribute_to_high,Unnamed: 13,accuracy
0,0,26,,,0.3333333333333333,0.6666666666666666,freq_Social,freq_Unknown,freq_Browser,freq_Games,dur_Comics,dur_Comics,freq_Social,,
1,1,8,,,0.6666666666666666,0.3333333333333333,freq_Unknown,freq_Social,freq_Browser,freq_Games,freq_calls,freq_Unknown,freq_Social,,
2,2,86,,,0.6666666666666666,0.3333333333333333,freq_Unknown,freq_Browser,freq_Social,freq_Games,freq_Tools,freq_Unknown,freq_Browser,,
3,3,78,,,0.6666666666666666,0.3333333333333333,freq_Social,freq_Unknown,freq_Games,freq_Browser,freq_Productivity,freq_Games,freq_Social,,
4,4,43,,,0.3333333333333333,0.6666666666666666,freq_Unknown,freq_Social,dur_Comics,freq_Browser,freq_Communication,freq_Social,freq_Unknown,,
5,5,85,,,0.3333333333333333,0.6666666666666666,freq_Unknown,freq_Social,freq_Browser,freq_Communication,dur_Games,freq_Social,freq_Unknown,,
6,6,22,,,0.6666666666666666,0.3333333333333333,freq_Unknown,freq_Social,dur_Games,freq_Communication,freq_Browser,freq_Social,freq_Unknown,,
7,7,50,,,0.6666666666666666,0.3333333333333333,freq_Unknown,freq_Social,freq_Browser,freq_Tools,dur_Comics,freq_Social,freq_Unknown,,
8,8,45,,,0.0,1.0,freq_Unknown,freq_Social,freq_Games,freq_calls,dur_Games,freq_Unknown,freq_Games,,
9,9,24,,,0.3333333333333333,0.6666666666666666,freq_Unknown,freq_Social,freq_Games,dur_Comics,freq_Browser,freq_Social,freq_Unknown,,
10,10,59,,,0.3333333333333333,0.6666666666666666,freq_Unknown,freq_Social,freq_Browser,freq_calls,freq_Communication,freq_Social,freq_Unknown,,
11,11,113,,,0.6666666666666666,0.3333333333333333,freq_Unknown,freq_Social,freq_Browser,dur_Comics,freq_Tools,freq_Social,freq_Unknown,,
12,12,54,,,0.6666666666666666,0.3333333333333333,freq_Unknown,freq_Social,freq_Games,dur_Comics,freq_Browser,freq_Social,freq_Unknown,,
13,13,27,,,0.0,1.0,freq_Unknown,freq_Social,freq_Browser,dur_Games,freq_Games,freq_Social,freq_Unknown,,
14,14,62,,,0.3333333333333333,0.6666666666666666,freq_Unknown,freq_Social,freq_calls,freq_Games,freq_Productivity,freq_Social,freq_Unknown,,
15,15,115,,,0.6666666666666666,0.3333333333333333,freq_Unknown,freq_Social,freq_Tools,freq_Games,freq_Browser,freq_Social,freq_Unknown,,
16,16,114,,,0.3333333333333333,0.6666666666666666,freq_Unknown,freq_Social,freq_Browser,freq_Games,freq_Communication,freq_Social,freq_Unknown,,
17,17,122,,,1.0,0.0,freq_Unknown,freq_Social,freq_Browser,dur_Games,freq_Music...Audio,freq_Unknown,freq_Music...Audio,,
18,18,104,,,0.3333333333333333,0.6666666666666666,freq_Unknown,freq_Social,freq_Games,freq_Browser,dur_Comics,freq_Social,freq_Unknown,,
19,19,84,,,0.0,1.0,freq_Unknown,freq_Social,freq_Browser,freq_Games,dur_Comics,freq_Social,freq_Unknown,,
20,20,60,,,0.6666666666666666,0.3333333333333333,freq_Browser,freq_Unknown,freq_Social,freq_Comics,freq_Lifestyle,freq_Social,freq_Browser,,
21,21,18,,,0.6666666666666666,0.3333333333333333,freq_Social,freq_Unknown,freq_Games,Education_lev,freq_Browser,Education_lev,freq_Social,,
22,22,92,,,0.6666666666666666,0.3333333333333333,freq_Social,freq_Unknown,freq_Productivity,freq_Tools,freq_Browser,freq_Productivity,freq_Social,,
23,23,33,,,0.6666666666666666,0.3333333333333333,freq_Unknown,freq_Browser,freq_Social,freq_Tools,freq_Games,freq_Unknown,freq_Browser,,
24,24,94,,,1.0,0.0,freq_Unknown,freq_Social,freq_Comics,freq_Communication,freq_Browser,freq_Unknown,freq_Social,,
25,25,48,,,1.0,0.0,freq_Unknown,freq_Social,freq_Tools,freq_Comics,dur_Comics,freq_Unknown,freq_Social,,
26,26,7,,,0.3333333333333333,0.6666666666666666,freq_Unknown,freq_Social,freq_Browser,freq_Games,freq_calls,freq_Social,freq_Unknown,,
27,27,16,,,0.0,1.0,freq_Unknown,freq_Social,freq_Games,freq_Productivity,freq_Browser,freq_Unknown,freq_Social,,
28,28,128,,,0.3333333333333333,0.6666666666666666,freq_Unknown,freq_Social,freq_Browser,dur_Games,freq_Games,freq_Social,freq_Unknown,,
29,29,10,,,1.0,0.0,freq_Unknown,freq_Social,freq_Browser,freq_Communication,freq_Games,freq_Social,freq_Unknown,,
30,30,2,,,0.3333333333333333,0.6666666666666666,freq_Unknown,freq_Social,freq_Browser,freq_Games,freq_calls,freq_Social,freq_Unknown,,
31,31,51,,,0.0,1.0,freq_Social,freq_Unknown,freq_Games,freq_Travel...Local,dur_Games,freq_Games,freq_Social,,
32,32,101,,,0.6666666666666666,0.3333333333333333,freq_Unknown,freq_Social,freq_Tools,freq_Browser,freq_Games,freq_Unknown,freq_Productivity,,
33,33,116,,,0.6666666666666666,0.3333333333333333,freq_Social,freq_Unknown,freq_Browser,freq_Tools,freq_calls,freq_Tools,freq_Social,,
34,34,30,,,0.3333333333333333,0.6666666666666666,freq_Unknown,freq_Social,freq_Communication,freq_Browser,dur_Games,freq_Social,freq_Unknown,,
