,index,instance,trait,trait_predicted,low_prob,high_prob,most_contribute_1,most_contribute_2,most_contribute_3,most_contribute_4,most_contribute_5,most_contribute_to_low,most_contribute_to_high,Unnamed: 13,accuracy
0,0,26,,,0.7164544691473289,0.28354553085267103,freq_Medical,Gender,freq_Communication,freq_calls,freq_Productivity,freq_Medical,freq_Productivity,,
1,1,8,,,0.9714487592651628,0.028551240734837155,freq_Medical,Gender,freq_calls,freq_Communication,dur_Lifestyle,freq_Communication,freq_Medical,,
2,2,86,,,0.40352994108246654,0.5964700589175335,freq_Medical,Gender,freq_Travel...Local,freq_Media...Video,freq_calls,freq_Medical,freq_Productivity,,
3,3,78,,,0.5037353160433784,0.4962646839566216,freq_Medical,Gender,freq_Productivity,freq_Personalization,freq_Communication,freq_Medical,Gender,,
4,4,43,,,3.1943632217146245e-07,0.9999996805636778,freq_Medical,Gender,Age,freq_calls,freq_Communication,freq_Medical,Gender,,
5,5,85,,,0.916981006595552,0.08301899340444795,freq_Medical,Gender,freq_Travel...Local,freq_Personalization,freq_Media...Video,freq_Medical,freq_Travel...Local,,
6,6,22,,,0.9836955208893403,0.016304479110659697,freq_Medical,Gender,freq_Travel...Local,freq_calls,freq_Media...Video,freq_Medical,Gender,,
7,7,50,,,1.4449665518334598e-05,0.9999855503344817,freq_Medical,Gender,Age,freq_Personalization,dur_Communication,freq_Medical,Gender,,
8,8,45,,,0.0002076129769155166,0.9997923870230845,freq_Medical,freq_calls,Gender,freq_Media...Video,freq_Communication,freq_Medical,freq_calls,,
9,9,24,,,0.10461725635867092,0.8953827436413291,freq_Medical,Gender,freq_calls,freq_Travel...Local,freq_Personalization,freq_Medical,Gender,,
10,10,59,,,0.000997944174370713,0.9990020558256293,freq_Medical,freq_calls,Gender,Age,freq_Travel...Local,freq_Medical,freq_calls,,
11,11,113,,,1.1314198711476209e-05,0.9999886858012885,Gender,freq_Medical,freq_calls,dur_Communication,freq_Personalization,freq_Medical,Gender,,
12,12,54,,,0.9998350540404892,0.00016494595951076034,Gender,freq_Medical,freq_Media...Video,freq_calls,freq_Comics,freq_Medical,Gender,,
13,13,27,,,0.0008045821131531516,0.9991954178868468,freq_Medical,Gender,Age,freq_Travel...Local,freq_Personalization,freq_Medical,Gender,,
14,14,62,,,1.2011758254715232e-09,0.9999999987988242,freq_Medical,freq_calls,Gender,Age,freq_Travel...Local,freq_Medical,freq_calls,,
15,15,115,,,0.5330501846531839,0.4669498153468162,freq_Medical,Gender,freq_Media...Video,Age,freq_Productivity,freq_Medical,Age,,
16,16,114,,,0.19155626902489897,0.808443730975101,freq_Medical,Gender,freq_Comics,dur_Medical,freq_Personalization,freq_Medical,Gender,,
17,17,122,,,0.0027076774495132794,0.9972923225504867,freq_Medical,Gender,freq_calls,freq_Travel...Local,freq_Transportation,freq_Medical,freq_Travel...Local,,
18,18,104,,,0.03439063610300275,0.9656093638969973,Gender,freq_Medical,freq_Personalization,freq_Travel...Local,freq_Media...Video,freq_Medical,Gender,,
19,19,84,,,0.0,1.0,freq_Medical,Gender,freq_calls,freq_Travel...Local,freq_Personalization,freq_Medical,Gender,,
20,20,60,,,0.999982486050198,1.751394980193314e-05,freq_Medical,Gender,freq_Travel...Local,freq_Communication,freq_Personalization,freq_Medical,Gender,,
21,21,18,,,0.040015148324253125,0.9599848516757469,Gender,freq_Medical,Age,freq_Media...Video,dur_Medical,Gender,Age,,
22,22,92,,,0.9306226661993815,0.06937733380061849,Gender,freq_Medical,freq_Productivity,freq_Travel...Local,freq_Personalization,Gender,freq_Productivity,,
23,23,33,,,0.995109353068236,0.00489064693176401,freq_Medical,Gender,freq_Media...Video,freq_Communication,freq_Comics,freq_Medical,Gender,,
24,24,94,,,0.2720489109196056,0.7279510890803944,freq_Medical,Gender,freq_calls,freq_Communication,freq_Personalization,freq_Medical,freq_Communication,,
25,25,48,,,0.9999999999999705,2.954918918756552e-14,freq_Medical,Gender,freq_Media...Video,freq_Communication,freq_calls,freq_Medical,dur_Lifestyle,,
26,26,7,,,0.36395536781350835,0.6360446321864917,freq_Medical,Gender,freq_calls,freq_Transportation,freq_Communication,freq_Medical,Gender,,
27,27,16,,,0.9826775705777426,0.017322429422257368,freq_Medical,Gender,freq_Media...Video,freq_calls,freq_Productivity,Gender,freq_Medical,,
28,28,128,,,0.02625591310864972,0.9737440868913503,freq_Medical,Gender,freq_Travel...Local,freq_Personalization,freq_Comics,freq_Medical,Gender,,
29,29,10,,,0.08394344280367028,0.9160565571963297,freq_Medical,Gender,dur_Lifestyle,freq_Personalization,dur_Medical,freq_Medical,dur_Lifestyle,,
30,30,2,,,0.05852466142861679,0.9414753385713832,Gender,freq_calls,freq_Medical,freq_Comics,freq_Media...Video,freq_Medical,Gender,,
31,31,51,,,0.9999963882484093,3.611751590678852e-06,freq_Medical,Gender,freq_Travel...Local,freq_Media...Video,freq_Communication,freq_Medical,Gender,,
32,32,101,,,0.9483953798433107,0.05160462015668931,freq_Medical,Gender,freq_Media...Video,freq_Tools,freq_Personalization,freq_Medical,Gender,,
33,33,116,,,0.9999066450275812,9.335497241879776e-05,freq_Medical,freq_calls,Gender,freq_Media...Video,freq_Travel...Local,freq_Media...Video,freq_Medical,,
34,34,30,,,0.9999365761214695,6.342387853055041e-05,freq_Medical,Gender,freq_Media...Video,freq_Personalization,freq_Comics,freq_Medical,dur_Medical,,
