,index,instance,trait,trait_predicted,low_prob,high_prob,most_contribute_1,most_contribute_2,most_contribute_3,most_contribute_4,most_contribute_5,most_contribute_to_low,most_contribute_to_high,Unnamed: 13,accuracy
0,0,26,,,0.005096244736510291,0.9949037552634897,dur_Education,freq_Sports,freq_Transportation,freq_Communication,freq_Social,freq_Communication,dur_Education,,
1,1,8,,,0.014925732023742378,0.9850742679762577,freq_Sports,freq_Transportation,dur_Lifestyle,freq_Communication,freq_calls,freq_Communication,freq_Sports,,
2,2,86,,,0.999999670129851,3.298701489464369e-07,freq_Sports,dur_Education,freq_Travel...Local,freq_Shopping,freq_Entertainment,freq_Travel...Local,freq_Sports,,
3,3,78,,,0.8650100052761587,0.13498999472384132,freq_Sports,dur_Education,freq_Medical,freq_Health...Fitness,freq_Communication,dur_Education,freq_Sports,,
4,4,43,,,0.007312455875360814,0.9926875441246391,dur_Education,freq_Sports,freq_Medical,freq_Communication,dur_Lifestyle,freq_Medical,dur_Education,,
5,5,85,,,0.9995045942866378,0.0004954057133620039,freq_Sports,freq_Medical,freq_Travel...Local,dur_Lifestyle,freq_News...Magazines,freq_Medical,freq_Sports,,
6,6,22,,,0.012780323293516502,0.9872196767064835,freq_Sports,dur_Education,freq_Medical,dur_Lifestyle,freq_Communication,dur_Education,freq_Sports,,
7,7,50,,,0.9628748957502943,0.03712510424970574,freq_Sports,freq_Medical,dur_Lifestyle,freq_Communication,dur_News...Magazines,freq_Sports,freq_Communication,,
8,8,45,,,0.0003860291512769934,0.9996139708487232,dur_Education,freq_Sports,freq_Communication,freq_Lifestyle,freq_calls,dur_Education,freq_Sports,,
9,9,24,,,0.23955652314636716,0.7604434768536329,dur_Education,freq_Sports,freq_Communication,freq_Medical,freq_Travel...Local,freq_Sports,dur_Education,,
10,10,59,,,0.09068048890729077,0.9093195110927093,freq_Sports,dur_Education,freq_calls,freq_Medical,freq_Transportation,dur_Education,freq_Sports,,
11,11,113,,,3.13008233593317e-08,0.9999999686991766,dur_Education,freq_Sports,freq_Medical,freq_Communication,dur_Lifestyle,freq_Medical,dur_Education,,
