,index,instance,trait,trait_predicted,low_prob,high_prob,most_contribute_1,most_contribute_2,most_contribute_3,most_contribute_4,most_contribute_5,most_contribute_to_low,most_contribute_to_high,Unnamed: 13,accuracy
0,0,26,,,0.46875,0.53125,freq_Social,freq_Transportation,dur_Shopping,dur_News...Magazines,dur_Lifestyle,dur_Lifestyle,freq_Social,,
1,1,8,,,0.4375,0.5625,dur_Lifestyle,freq_Social,freq_Transportation,dur_Social,freq_Finance,freq_Finance,dur_Lifestyle,,
2,2,86,,,0.65625,0.34375,freq_Photography,dur_Shopping,freq_Travel...Local,dur_Lifestyle,freq_Media...Video,freq_Photography,dur_Shopping,,
3,3,78,,,0.5625,0.4375,freq_Social,dur_Shopping,dur_Lifestyle,dur_News...Magazines,Gender,dur_Lifestyle,freq_Social,,
4,4,43,,,0.359375,0.640625,dur_Unknown,freq_News...Magazines,dur_Lifestyle,dur_Shopping,dur_Travel...Local,dur_Unknown,dur_Travel...Local,,
5,5,85,,,0.546875,0.453125,dur_Lifestyle,freq_News...Magazines,freq_Social,freq_Medical,freq_Photography,dur_Lifestyle,freq_Photography,,
6,6,22,,,0.359375,0.640625,dur_News...Magazines,dur_Productivity,dur_Lifestyle,freq_Photography,dur_Shopping,dur_Productivity,dur_News...Magazines,,
7,7,50,,,0.546875,0.453125,dur_News...Magazines,dur_Lifestyle,dur_Productivity,dur_Unknown,dur_Shopping,dur_Lifestyle,dur_News...Magazines,,
8,8,45,,,0.671875,0.328125,dur_Unknown,freq_News...Magazines,freq_Media...Video,dur_Shopping,Age,dur_Unknown,freq_Photography,,
9,9,24,,,0.421875,0.578125,dur_News...Magazines,dur_Productivity,dur_Shopping,freq_Browser,dur_Travel...Local,dur_Productivity,dur_News...Magazines,,
10,10,59,,,0.65625,0.34375,dur_Unknown,freq_Transportation,dur_News...Magazines,freq_Social,dur_Lifestyle,dur_Unknown,dur_News...Magazines,,
11,11,113,,,0.4375,0.5625,dur_Lifestyle,dur_Unknown,dur_Travel...Local,dur_Shopping,dur_Social,dur_Lifestyle,dur_Unknown,,
12,12,54,,,0.6875,0.3125,freq_Photography,freq_Transportation,dur_News...Magazines,dur_Productivity,dur_Lifestyle,freq_Photography,dur_News...Magazines,,
13,13,27,,,0.5625,0.4375,freq_Photography,dur_Unknown,dur_News...Magazines,dur_Productivity,dur_Lifestyle,freq_Photography,dur_News...Magazines,,
14,14,62,,,0.484375,0.515625,freq_Photography,dur_Unknown,freq_Transportation,dur_News...Magazines,dur_Lifestyle,freq_Photography,dur_News...Magazines,,
15,15,115,,,0.421875,0.578125,dur_Unknown,dur_News...Magazines,dur_Lifestyle,freq_Social,Age,dur_Unknown,dur_News...Magazines,,
16,16,114,,,0.3125,0.6875,freq_Transportation,dur_News...Magazines,freq_Social,dur_Lifestyle,dur_Unknown,freq_Transportation,dur_News...Magazines,,
