,index,instance,trait,trait_predicted,low_prob,high_prob,most_contribute_1,most_contribute_2,most_contribute_3,most_contribute_4,most_contribute_5,most_contribute_to_low,most_contribute_to_high,Unnamed: 13,accuracy
0,0,26,,,0.47517422936930814,0.5248257706306917,freq_Communication,freq_Social,dur_Entertainment,freq_calls,dur_calls,freq_Photography,freq_Communication,,
1,1,8,,,0.486748763710862,0.513251236289138,freq_Communication,freq_Unknown,freq_Tools,freq_calls,freq_Social,freq_calls,freq_Communication,,
2,2,86,,,0.5155201833801848,0.484479816619815,freq_Unknown,freq_Communication,freq_Tools,dur_calls,dur_Comics,freq_Communication,freq_Unknown,,
3,3,78,,,0.5165426070098642,0.483457392990136,freq_Communication,freq_Social,freq_Tools,dur_Entertainment,freq_Unknown,freq_Communication,freq_Social,,
4,4,43,,,0.5169717290879591,0.48302827091204104,freq_Communication,dur_calls,freq_Social,freq_Unknown,freq_calls,freq_Communication,freq_calls,,
5,5,85,,,0.5169608449848291,0.483039155015171,dur_calls,freq_Communication,dur_Entertainment,freq_Unknown,freq_Tools,dur_calls,dur_Entertainment,,
6,6,22,,,0.5171684884918614,0.4828315115081387,freq_Communication,freq_Tools,dur_calls,freq_calls,freq_Unknown,freq_Communication,dur_calls,,
7,7,50,,,0.5168155943389828,0.4831844056610171,freq_Communication,dur_Entertainment,freq_Social,freq_Tools,dur_Comics,freq_Communication,dur_Entertainment,,
8,8,45,,,0.5158174323842826,0.48418256761571743,freq_Communication,freq_Unknown,freq_calls,freq_Photography,freq_Social,freq_calls,freq_Communication,,
9,9,24,,,0.5169228327580317,0.48307716724196825,freq_Communication,dur_calls,dur_Entertainment,freq_Social,freq_calls,freq_Communication,dur_Entertainment,,
10,10,59,,,0.5175971330697141,0.4824028669302859,freq_Communication,freq_calls,freq_Unknown,dur_Comics,dur_Entertainment,freq_Communication,dur_Comics,,
11,11,113,,,0.5170735980236743,0.48292640197632575,freq_Communication,freq_Social,dur_Entertainment,freq_Unknown,freq_Tools,freq_Communication,dur_calls,,
12,12,54,,,0.5168237668282019,0.48317623317179786,freq_Communication,dur_Entertainment,freq_calls,freq_Unknown,dur_calls,freq_Communication,dur_Entertainment,,
13,13,27,,,0.5170427374469189,0.4829572625530811,freq_Communication,dur_calls,freq_Unknown,freq_Social,freq_Medical,freq_Communication,freq_Medical,,
14,14,62,,,0.5168645236320183,0.4831354763679815,freq_Communication,freq_calls,freq_Tools,freq_Productivity,freq_Unknown,freq_Communication,dur_Comics,,
15,15,115,,,0.5168948134532145,0.4831051865467855,freq_Tools,freq_Communication,dur_calls,dur_Games,freq_Unknown,freq_Communication,freq_Tools,,
16,16,114,,,0.5167790997627008,0.4832209002372993,dur_calls,freq_Communication,freq_Unknown,dur_Entertainment,freq_Social,dur_calls,dur_Entertainment,,
17,17,122,,,0.5172192127046639,0.4827807872953359,freq_Unknown,freq_Communication,freq_calls,freq_Social,freq_Tools,freq_Communication,freq_Unknown,,
18,18,104,,,0.5171338412722325,0.48286615872776745,freq_Communication,dur_News...Magazines,freq_Tools,freq_Unknown,freq_Medical,freq_Communication,dur_News...Magazines,,
19,19,84,,,0.5184318105792978,0.48156818942070223,freq_Communication,freq_Unknown,dur_News...Magazines,freq_calls,freq_Social,freq_Communication,freq_calls,,
20,20,60,,,0.5167131490361414,0.48328685096385865,freq_Communication,dur_Comics,freq_Unknown,freq_Social,dur_News...Magazines,freq_Unknown,freq_Communication,,
21,21,18,,,0.5172536572046886,0.48274634279531137,dur_calls,freq_Communication,freq_Social,freq_Tools,dur_Comics,dur_calls,freq_Social,,
22,22,92,,,0.5168846343319445,0.4831153656680553,freq_Communication,freq_Social,dur_News...Magazines,freq_Unknown,freq_Tools,freq_Communication,freq_Social,,
23,23,33,,,0.5152550041327065,0.4847449958672934,freq_Communication,freq_Unknown,freq_Tools,dur_calls,freq_Medical,freq_Browser,freq_Communication,,
24,24,94,,,0.5161624499194166,0.4838375500805835,freq_Unknown,freq_Communication,freq_Social,dur_Entertainment,freq_calls,freq_Communication,freq_Unknown,,
25,25,48,,,0.47546437410252435,0.5245356258974757,freq_Communication,freq_Tools,freq_Unknown,freq_Social,dur_calls,freq_Music...Audio,freq_Communication,,
26,26,7,,,0.5169517409790876,0.4830482590209125,freq_Communication,freq_Social,freq_calls,freq_Unknown,freq_Tools,freq_Communication,freq_calls,,
27,27,16,,,0.5181297270015471,0.481870272998453,freq_Unknown,freq_Communication,freq_Social,freq_calls,dur_News...Magazines,freq_Communication,freq_Unknown,,
28,28,128,,,0.51704440245121,0.4829555975487901,freq_Communication,freq_Tools,dur_calls,freq_Unknown,freq_Social,freq_Communication,dur_calls,,
29,29,10,,,0.5162572911117598,0.48374270888824045,freq_Communication,dur_calls,dur_Entertainment,dur_News...Magazines,freq_Unknown,freq_Communication,dur_Entertainment,,
30,30,2,,,0.5168913068527445,0.4831086931472553,freq_Communication,freq_calls,dur_Comics,freq_Unknown,dur_Games,freq_Communication,dur_Comics,,
31,31,51,,,0.5061211736135196,0.4938788263864801,freq_Communication,freq_Social,freq_Medical,freq_Photography,dur_Comics,freq_Photography,freq_Communication,,
32,32,101,,,0.516553508275041,0.48344649172495885,freq_Unknown,freq_Tools,freq_Communication,dur_Entertainment,dur_calls,freq_Communication,freq_Unknown,,
33,33,116,,,0.4942337652314096,0.5057662347685904,freq_Communication,freq_Tools,freq_Social,freq_calls,dur_Entertainment,freq_calls,freq_Communication,,
34,34,30,,,0.5164248117142066,0.4835751882857934,freq_Communication,freq_Social,freq_Unknown,freq_Tools,dur_Education,freq_Communication,dur_Education,,
