,index,instance,trait,trait_predicted,low_prob,high_prob,most_contribute_1,most_contribute_2,most_contribute_3,most_contribute_4,most_contribute_5,most_contribute_to_low,most_contribute_to_high,Unnamed: 13,accuracy
0,0,26,,,0.3333333333333333,0.6666666666666666,freq_Communication,freq_Social,freq_Games,dur_Comics,freq_Photography,freq_Communication,freq_Social,,
1,1,8,,,1.0,0.0,freq_Communication,freq_Social,freq_Tools,freq_calls,freq_Games,freq_Communication,freq_Social,,
2,2,86,,,0.3333333333333333,0.6666666666666666,freq_Communication,freq_Tools,dur_calls,freq_Games,freq_Photography,freq_Games,freq_Communication,,
3,3,78,,,0.3333333333333333,0.6666666666666666,freq_Communication,freq_Social,freq_Productivity,dur_Comics,freq_Tools,freq_Productivity,freq_Communication,,
4,4,43,,,0.6666666666666666,0.3333333333333333,freq_Communication,dur_Comics,dur_calls,freq_Social,freq_Tools,freq_Social,freq_Communication,,
5,5,85,,,0.0,1.0,dur_calls,freq_Social,freq_Communication,dur_Comics,dur_Personalization,freq_Social,dur_calls,,
6,6,22,,,0.3333333333333333,0.6666666666666666,freq_Communication,dur_Games,dur_Comics,freq_Browser,dur_Education,freq_Browser,freq_Communication,,
7,7,50,,,0.3333333333333333,0.6666666666666666,freq_Communication,freq_Social,dur_calls,dur_Education,freq_Browser,freq_Social,freq_Communication,,
8,8,45,,,0.0,1.0,freq_Communication,freq_Photography,freq_Games,freq_calls,dur_Games,freq_Communication,dur_Games,,
9,9,24,,,0.3333333333333333,0.6666666666666666,freq_Communication,freq_Games,dur_calls,freq_Tools,freq_Social,freq_Games,freq_Communication,,
10,10,59,,,1.0,0.0,freq_Social,freq_Communication,freq_Personalization,freq_calls,freq_Tools,freq_Social,freq_Personalization,,
11,11,113,,,1.0,0.0,freq_Communication,freq_Social,freq_Tools,dur_News...Magazines,dur_Unknown,freq_Social,freq_Communication,,
12,12,54,,,0.3333333333333333,0.6666666666666666,freq_Communication,freq_Games,dur_calls,freq_Lifestyle,freq_Social,freq_Games,freq_Communication,,
13,13,27,,,0.6666666666666666,0.3333333333333333,freq_Communication,dur_calls,freq_Social,freq_calls,freq_Photography,freq_Social,freq_Communication,,
14,14,62,,,1.0,0.0,freq_Communication,freq_calls,freq_Social,freq_Tools,freq_Browser,freq_calls,freq_Communication,,
15,15,115,,,0.0,1.0,freq_Communication,freq_Tools,dur_calls,freq_Comics,freq_Social,freq_Comics,freq_Communication,,
16,16,114,,,0.3333333333333333,0.6666666666666666,dur_calls,dur_Games,freq_Tools,freq_calls,freq_Social,freq_Tools,dur_calls,,
17,17,122,,,0.3333333333333333,0.6666666666666666,freq_Social,freq_Games,freq_Comics,freq_Browser,freq_Tools,freq_Social,freq_Games,,
18,18,104,,,0.6666666666666666,0.3333333333333333,freq_Communication,freq_Games,freq_Personalization,freq_Comics,dur_Comics,freq_Games,freq_Communication,,
19,19,84,,,0.6666666666666666,0.3333333333333333,freq_Communication,freq_Games,dur_Games,freq_Social,freq_Tools,freq_Games,freq_Communication,,
20,20,60,,,0.3333333333333333,0.6666666666666666,freq_Communication,freq_Photography,freq_Tools,freq_Games,dur_Games,freq_Communication,freq_Games,,
21,21,18,,,0.3333333333333333,0.6666666666666666,freq_Communication,freq_Social,freq_Games,dur_calls,freq_Tools,freq_Games,freq_Communication,,
22,22,92,,,0.6666666666666666,0.3333333333333333,freq_Communication,freq_Social,dur_Comics,freq_Photography,freq_Unknown,freq_Unknown,freq_Communication,,
23,23,33,,,0.3333333333333333,0.6666666666666666,freq_Communication,freq_Tools,freq_Unknown,freq_News...Magazines,freq_Social,freq_Communication,freq_Tools,,
24,24,94,,,0.3333333333333333,0.6666666666666666,freq_Communication,freq_Social,dur_Comics,freq_Tools,dur_Games,freq_Tools,freq_Communication,,
25,25,48,,,1.0,0.0,freq_Communication,freq_Social,freq_Tools,dur_Comics,freq_Browser,freq_Communication,freq_Social,,
26,26,7,,,1.0,0.0,freq_Communication,dur_Comics,freq_Social,freq_Browser,dur_calls,dur_Comics,freq_Communication,,
27,27,16,,,0.6666666666666666,0.3333333333333333,freq_Communication,freq_Social,freq_Games,freq_Photography,dur_Media...Video,freq_Games,freq_Communication,,
28,28,128,,,1.0,0.0,freq_Communication,freq_Social,dur_Games,dur_calls,freq_Browser,freq_Social,freq_Communication,,
29,29,10,,,0.6666666666666666,0.3333333333333333,dur_calls,freq_calls,freq_Communication,freq_Social,freq_Tools,freq_Communication,dur_calls,,
30,30,2,,,0.3333333333333333,0.6666666666666666,freq_Communication,dur_Games,freq_calls,dur_Comics,freq_Social,freq_calls,freq_Communication,,
31,31,51,,,0.6666666666666666,0.3333333333333333,freq_Communication,freq_Social,freq_Tools,dur_Personalization,freq_calls,freq_Communication,freq_Social,,
32,32,101,,,0.6666666666666666,0.3333333333333333,freq_Tools,freq_Social,freq_Photography,freq_Games,freq_Communication,freq_Social,freq_Tools,,
33,33,116,,,1.0,0.0,freq_Communication,freq_Tools,freq_Social,freq_Photography,freq_calls,freq_Communication,freq_Tools,,
34,34,30,,,0.0,1.0,freq_Communication,freq_Social,dur_Games,freq_Productivity,freq_Tools,freq_Communication,freq_Productivity,,
