,index,instance,trait,trait_predicted,low_prob,high_prob,most_contribute_1,most_contribute_2,most_contribute_3,most_contribute_4,most_contribute_5,most_contribute_to_low,most_contribute_to_high,Unnamed: 13,accuracy
0,0,26,,,7.271825993659942e-05,0.9999272817400634,freq_Comics,dur_Comics,freq_Finance,dur_Medical,freq_Medical,dur_Comics,freq_Comics,,
1,1,8,,,8.659739592076221e-14,0.9999999999999134,freq_Comics,dur_Comics,freq_Finance,dur_Medical,freq_Medical,dur_Comics,freq_Comics,,
2,2,86,,,0.0,1.0,freq_Comics,dur_Comics,freq_Finance,freq_Medical,dur_Medical,freq_Comics,dur_Comics,,
3,3,78,,,0.004571819589548443,0.9954281804104516,freq_Comics,dur_Comics,freq_Finance,dur_Medical,freq_Medical,dur_Comics,freq_Comics,,
4,4,43,,,0.769820492888921,0.2301795071110791,freq_Comics,dur_Comics,dur_Medical,freq_Finance,freq_Medical,dur_Comics,freq_Comics,,
5,5,85,,,3.2816130327573134e-06,0.9999967183869672,freq_Comics,dur_Comics,dur_Medical,freq_Finance,freq_Medical,dur_Comics,freq_Comics,,
6,6,22,,,0.7632805672871068,0.23671943271289322,freq_Comics,dur_Comics,freq_Finance,dur_Medical,freq_Medical,dur_Comics,freq_Comics,,
7,7,50,,,0.9955529030849546,0.004447096915045365,freq_Comics,dur_Comics,dur_Medical,freq_Finance,freq_Medical,dur_Comics,freq_Comics,,
8,8,45,,,0.929079405090035,0.07092059490996507,freq_Comics,dur_Comics,dur_Medical,freq_Finance,freq_Medical,dur_Comics,freq_Comics,,
9,9,24,,,0.46424164898571574,0.5357583510142843,freq_Comics,dur_Comics,dur_Medical,freq_Finance,freq_Medical,dur_Comics,freq_Comics,,
10,10,59,,,0.2868542289716549,0.7131457710283451,freq_Comics,dur_Comics,freq_Finance,dur_Medical,freq_Medical,dur_Comics,freq_Comics,,
11,11,113,,,0.00015868961675502558,0.999841310383245,freq_Comics,dur_Comics,dur_Medical,freq_Finance,freq_Medical,dur_Comics,freq_Comics,,
12,12,54,,,0.8865267950330212,0.11347320496697881,freq_Comics,dur_Comics,freq_Finance,dur_Medical,freq_Medical,dur_Comics,freq_Comics,,
13,13,27,,,0.017164890882699346,0.9828351091173007,freq_Comics,dur_Comics,dur_Medical,freq_Finance,freq_Medical,dur_Comics,freq_Comics,,
14,14,62,,,0.5837148483167968,0.41628515168320324,freq_Comics,dur_Comics,freq_Finance,dur_Medical,freq_Medical,dur_Comics,freq_Comics,,
15,15,115,,,7.741032218566701e-07,0.9999992258967781,freq_Comics,dur_Comics,freq_Finance,dur_Medical,freq_Medical,freq_Comics,dur_Comics,,
16,16,114,,,0.5140533778804494,0.48594662211955064,freq_Comics,dur_Comics,freq_Finance,dur_Medical,freq_Medical,dur_Comics,freq_Comics,,
17,17,122,,,0.001329200130751329,0.9986707998692487,freq_Comics,dur_Comics,dur_Medical,freq_Finance,freq_Medical,dur_Comics,freq_Comics,,
18,18,104,,,0.032545303125962155,0.9674546968740378,freq_Comics,dur_Comics,freq_Finance,dur_Medical,freq_Medical,dur_Comics,freq_Comics,,
19,19,84,,,0.9999999999035128,9.648713065597795e-11,freq_Comics,dur_Comics,freq_Finance,dur_Medical,freq_Medical,dur_Comics,freq_Comics,,
20,20,60,,,0.43512749179425203,0.564872508205748,freq_Comics,dur_Comics,dur_Medical,freq_Finance,freq_Medical,dur_Comics,freq_Comics,,
21,21,18,,,0.005172661216106711,0.9948273387838933,freq_Comics,dur_Comics,freq_Finance,dur_Medical,freq_Medical,dur_Comics,freq_Comics,,
22,22,92,,,0.0015152539847637092,0.9984847460152363,freq_Comics,dur_Comics,freq_Finance,dur_Medical,freq_Medical,dur_Comics,freq_Comics,,
23,23,33,,,1.8287775895853287e-05,0.9999817122241041,freq_Comics,dur_Comics,freq_Finance,freq_Medical,dur_Medical,dur_Comics,freq_Comics,,
24,24,94,,,0.9932296675145912,0.006770332485408858,freq_Comics,dur_Comics,freq_Finance,dur_Medical,freq_Medical,dur_Comics,freq_Comics,,
25,25,48,,,5.804693311828313e-05,0.9999419530668817,freq_Comics,dur_Comics,freq_Finance,dur_Medical,freq_Medical,dur_Comics,freq_Comics,,
26,26,7,,,6.0713662776046284e-05,0.999939286337224,freq_Comics,dur_Comics,freq_Finance,dur_Medical,freq_Medical,dur_Comics,freq_Comics,,
27,27,16,,,3.670161952129547e-10,0.9999999996329838,freq_Comics,dur_Comics,dur_Medical,freq_Medical,dur_Travel...Local,dur_Comics,freq_Comics,,
28,28,128,,,0.9864437882294232,0.013556211770576757,freq_Comics,dur_Comics,freq_Finance,freq_Medical,dur_Medical,dur_Comics,freq_Comics,,
29,29,10,,,0.9851203756771831,0.01487962432281686,freq_Comics,dur_Comics,freq_Finance,freq_Medical,dur_Medical,dur_Comics,freq_Comics,,
30,30,2,,,0.8244123262335781,0.1755876737664219,freq_Comics,dur_Comics,dur_Medical,freq_Finance,freq_Medical,dur_Comics,freq_Comics,,
31,31,51,,,0.5183750963926129,0.4816249036073871,freq_Comics,dur_Comics,dur_Medical,freq_Finance,freq_Medical,dur_Comics,freq_Comics,,
32,32,101,,,0.0006080843897574573,0.9993919156102425,freq_Comics,dur_Comics,freq_Finance,dur_Medical,freq_Medical,dur_Comics,freq_Comics,,
33,33,116,,,0.9633521606709234,0.036647839329076566,freq_Comics,dur_Comics,freq_Finance,dur_Medical,freq_Medical,dur_Comics,freq_Comics,,
34,34,30,,,0.6447520574399745,0.3552479425600255,freq_Comics,dur_Comics,freq_Finance,dur_Medical,freq_Medical,dur_Comics,freq_Comics,,
