,index,instance,trait,trait_predicted,low_prob,high_prob,most_contribute_1,most_contribute_2,most_contribute_3,most_contribute_4,most_contribute_5,most_contribute_to_low,most_contribute_to_high,Unnamed: 13,accuracy
0,0,26,,,0.20107755105621766,0.7989224489437823,dur_Education,freq_Games,dur_Shopping,freq_Shopping,dur_Finance,freq_Games,dur_Education,,
1,1,8,,,0.8824605626766736,0.11753943732332627,freq_Games,freq_Shopping,freq_Books...Reference,dur_Finance,dur_Education,freq_Games,freq_Shopping,,
2,2,86,,,0.9829942063057427,0.01700579369425724,dur_Education,freq_Games,dur_Shopping,freq_Shopping,dur_Finance,freq_Games,dur_Education,,
3,3,78,,,0.47927540859767026,0.5207245914023297,dur_Education,dur_Shopping,freq_Health...Fitness,dur_Finance,freq_Games,dur_Education,dur_Shopping,,
4,4,43,,,0.00022402238651643514,0.9997759776134836,dur_Education,dur_Shopping,dur_Finance,dur_Business,dur_Browser,dur_Shopping,dur_Education,,
5,5,85,,,0.12123664272481756,0.8787633572751824,dur_Shopping,freq_Games,dur_Finance,dur_Sports,dur_Browser,dur_Shopping,freq_Games,,
6,6,22,,,0.997982166002247,0.0020178339977531055,dur_Education,dur_Shopping,dur_Business,freq_Games,dur_Finance,dur_Education,freq_Games,,
7,7,50,,,0.22167327069193352,0.7783267293080665,dur_Shopping,freq_Games,dur_Browser,dur_Business,dur_Finance,dur_Shopping,freq_Games,,
8,8,45,,,0.37656632623446834,0.6234336737655317,freq_Games,dur_Education,dur_Shopping,freq_Books...Reference,dur_Finance,freq_Games,dur_Finance,,
9,9,24,,,0.9962436746735056,0.0037563253264944877,dur_Education,freq_Games,freq_Health...Fitness,dur_Finance,dur_Shopping,freq_Games,dur_Education,,
10,10,59,,,0.174295601622079,0.8257043983779211,dur_Education,dur_Shopping,freq_Games,dur_Finance,freq_Health...Fitness,dur_Education,freq_Games,,
11,11,113,,,1.9624794162451132e-13,0.9999999999998037,dur_Education,dur_Shopping,dur_Finance,dur_Browser,dur_Business,dur_Shopping,dur_Education,,
