,index,instance,trait,trait_predicted,low_prob,high_prob,most_contribute_1,most_contribute_2,most_contribute_3,most_contribute_4,most_contribute_5,most_contribute_to_low,most_contribute_to_high,Unnamed: 13,accuracy
0,0,26,,,0.5,0.5,freq_Games,dur_Education,dur_calls,dur_Browser,Age,freq_Games,dur_Education,,
1,1,8,,,0.640625,0.359375,dur_Unknown,freq_Games,freq_calls,Age,freq_Shopping,freq_Games,dur_Unknown,,
2,2,86,,,0.59375,0.40625,freq_Games,dur_Education,dur_Travel...Local,dur_calls,dur_Unknown,freq_Games,dur_Education,,
3,3,78,,,0.484375,0.515625,dur_Education,dur_Unknown,Age,freq_Business,dur_Sports,dur_Education,dur_Sports,,
4,4,43,,,0.484375,0.515625,dur_Education,dur_calls,dur_Unknown,freq_Business,dur_Travel...Local,dur_Unknown,dur_Education,,
5,5,85,,,0.140625,0.859375,dur_Unknown,freq_Business,dur_Travel...Local,dur_calls,dur_Browser,dur_Browser,dur_Unknown,,
6,6,22,,,0.59375,0.40625,dur_Education,dur_calls,dur_Unknown,dur_Travel...Local,freq_Business,dur_Education,freq_Travel...Local,,
7,7,50,,,0.484375,0.515625,dur_Unknown,dur_Travel...Local,dur_Transportation,freq_Shopping,dur_Browser,dur_Unknown,dur_Transportation,,
8,8,45,,,0.5625,0.4375,freq_Games,dur_Education,dur_Unknown,freq_calls,freq_Business,freq_Games,dur_Browser,,
9,9,24,,,0.484375,0.515625,dur_Unknown,freq_Games,dur_Education,freq_Business,dur_calls,freq_Games,dur_Unknown,,
10,10,59,,,0.546875,0.453125,dur_Travel...Local,freq_Business,dur_Education,dur_Unknown,freq_calls,dur_Education,dur_Travel...Local,,
11,11,113,,,0.5625,0.4375,dur_Education,dur_calls,freq_Business,dur_Browser,dur_Travel...Local,dur_calls,dur_Education,,
12,12,54,,,0.453125,0.546875,freq_Games,dur_Education,freq_Shopping,dur_Sports,Education_lev,freq_Games,dur_Sports,,
13,13,27,,,0.515625,0.484375,dur_Education,dur_Unknown,freq_Business,dur_calls,freq_Travel...Local,dur_Education,freq_Business,,
14,14,62,,,0.484375,0.515625,dur_Travel...Local,dur_Education,dur_Unknown,freq_calls,dur_Browser,dur_Education,dur_Travel...Local,,
15,15,115,,,0.421875,0.578125,dur_Education,dur_calls,freq_Business,dur_Unknown,dur_Travel...Local,dur_Unknown,dur_Education,,
16,16,114,,,0.28125,0.71875,freq_Business,dur_Education,dur_calls,freq_Shopping,Education_lev,dur_Education,freq_Business,,
17,17,122,,,0.328125,0.671875,dur_Unknown,dur_Education,freq_Business,dur_Browser,freq_Shopping,dur_Education,dur_Unknown,,
18,18,104,,,0.4375,0.5625,freq_Games,dur_Education,dur_Unknown,dur_Travel...Local,dur_Browser,freq_Games,dur_Education,,
19,19,84,,,0.640625,0.359375,freq_Games,dur_Education,dur_Unknown,freq_Business,dur_Browser,freq_Games,dur_Browser,,
20,20,60,,,0.46875,0.53125,dur_Education,freq_Business,Age,dur_Browser,freq_Games,Age,dur_Education,,
21,21,18,,,0.484375,0.515625,freq_Games,dur_Education,dur_Unknown,dur_calls,dur_Browser,freq_Games,dur_calls,,
22,22,92,,,0.359375,0.640625,dur_Education,dur_Travel...Local,dur_Browser,freq_Travel...Local,Age,dur_Education,dur_Travel...Local,,
23,23,33,,,0.5625,0.4375,dur_calls,dur_Education,Age,freq_Business,freq_Games,dur_calls,freq_Games,,
24,24,94,,,0.546875,0.453125,dur_Unknown,dur_calls,dur_Education,Age,freq_Business,dur_calls,dur_Unknown,,
25,25,48,,,0.640625,0.359375,dur_calls,dur_Education,freq_Business,Age,freq_Games,dur_calls,freq_Games,,
26,26,7,,,0.359375,0.640625,dur_Education,dur_Travel...Local,dur_Sports,Education_lev,freq_Games,dur_Travel...Local,dur_Education,,
27,27,16,,,0.65625,0.34375,freq_Games,dur_Education,dur_calls,dur_Unknown,dur_Travel...Local,freq_Games,dur_Education,,
28,28,128,,,0.5,0.5,dur_Education,dur_Unknown,dur_calls,freq_Business,dur_Travel...Local,dur_Unknown,dur_Education,,
29,29,10,,,0.40625,0.59375,dur_Unknown,dur_calls,dur_Travel...Local,freq_Business,dur_Browser,dur_Travel...Local,dur_Unknown,,
30,30,2,,,0.453125,0.546875,dur_Education,dur_Unknown,freq_Business,freq_calls,dur_Travel...Local,dur_Education,freq_Business,,
31,31,51,,,0.453125,0.546875,dur_Education,dur_Travel...Local,dur_Unknown,freq_Business,Age,dur_Education,dur_Travel...Local,,
32,32,101,,,0.4375,0.5625,dur_Unknown,dur_Education,dur_calls,freq_Business,dur_Browser,dur_Education,dur_Unknown,,
33,33,116,,,0.515625,0.484375,dur_Unknown,dur_Education,dur_Travel...Local,freq_calls,Age,freq_calls,dur_Unknown,,
34,34,30,,,0.46875,0.53125,dur_Unknown,dur_Education,freq_Business,dur_Browser,Age,freq_Business,dur_Unknown,,
