,index,instance,trait,trait_predicted,low_prob,high_prob,most_contribute_1,most_contribute_2,most_contribute_3,most_contribute_4,most_contribute_5,most_contribute_to_low,most_contribute_to_high,Unnamed: 13,accuracy
0,0,26,,,0.4920433227707692,0.5079566772292309,dur_Shopping,freq_Communication,dur_Entertainment,freq_Shopping,freq_Sports,freq_Communication,dur_Shopping,,
1,1,8,,,0.4730011855147805,0.5269988144852195,freq_Communication,freq_Sports,freq_Shopping,freq_Tools,freq_Social,freq_Communication,freq_Sports,,
2,2,86,,,0.5,0.5,freq_Tools,freq_Shopping,dur_Entertainment,dur_Shopping,freq_Sports,freq_Tools,freq_Shopping,,
3,3,78,,,0.5,0.5,dur_Entertainment,dur_Comics,freq_Sports,dur_Health...Fitness,freq_Weather,dur_Comics,dur_Entertainment,,
4,4,43,,,0.5,0.5,dur_Entertainment,freq_Tools,freq_Sports,dur_Comics,freq_Weather,dur_Entertainment,freq_Tools,,
5,5,85,,,0.4937596589308591,0.5062403410691408,dur_Entertainment,freq_Communication,dur_Games,freq_News...Magazines,freq_Tools,freq_News...Magazines,dur_Entertainment,,
6,6,22,,,0.5,0.5,Education_lev,dur_Games,dur_Health...Fitness,freq_Sports,dur_Shopping,Education_lev,freq_Sports,,
7,7,50,,,0.5,0.5,dur_Entertainment,freq_Weather,freq_Sports,dur_Shopping,dur_Business,freq_Weather,dur_Entertainment,,
8,8,45,,,0.5075923510600714,0.4924076489399287,freq_Communication,freq_Weather,dur_Games,freq_Sports,freq_News...Magazines,freq_Communication,freq_Sports,,
9,9,24,,,0.5,0.5,dur_Entertainment,freq_Sports,freq_Tools,dur_Shopping,freq_Weather,freq_Sports,dur_Entertainment,,
10,10,59,,,0.5,0.5,dur_Entertainment,freq_Sports,freq_Communication,dur_Games,dur_Travel...Local,dur_Entertainment,freq_Sports,,
11,11,113,,,0.5,0.5,freq_Sports,dur_Entertainment,dur_Business,dur_Shopping,freq_Shopping,dur_Entertainment,freq_Sports,,
12,12,54,,,0.5,0.5,dur_Entertainment,dur_Comics,freq_Sports,freq_Tools,dur_Shopping,dur_Comics,dur_Entertainment,,
13,13,27,,,0.5,0.5,freq_Sports,freq_Shopping,dur_Games,dur_Entertainment,dur_Shopping,freq_Shopping,freq_Sports,,
14,14,62,,,0.5,0.5,dur_Entertainment,freq_Weather,freq_Sports,freq_Tools,dur_Games,dur_Entertainment,freq_Sports,,
15,15,115,,,0.5,0.5,dur_Games,freq_Tools,freq_Sports,freq_Weather,freq_Entertainment,dur_Games,freq_Sports,,
16,16,114,,,0.5,0.5,dur_Entertainment,freq_Communication,dur_Games,freq_Sports,dur_Shopping,dur_Games,dur_Entertainment,,
17,17,122,,,0.4947773589690514,0.5052226410309486,freq_Weather,dur_Comics,freq_Sports,dur_Games,dur_Finance,freq_Weather,dur_Comics,,
18,18,104,,,0.5,0.5,dur_Entertainment,freq_Sports,freq_Shopping,freq_Weather,freq_Tools,dur_Entertainment,freq_Sports,,
19,19,84,,,0.49476719301671546,0.5052328069832844,dur_Games,freq_Sports,dur_Shopping,dur_Finance,freq_Business,dur_Games,dur_Finance,,
20,20,60,,,0.49236159749240543,0.5076384025075945,freq_Communication,dur_Shopping,freq_Sports,freq_Shopping,dur_Sports,freq_Communication,freq_Sports,,
21,21,18,,,0.5,0.5,freq_Sports,freq_Weather,freq_Comics,freq_Shopping,freq_Music...Audio,freq_Comics,freq_Sports,,
22,22,92,,,0.5,0.5,freq_Sports,freq_Weather,freq_Shopping,freq_News...Magazines,freq_Productivity,freq_Weather,freq_Sports,,
23,23,33,,,0.5133019683579725,0.4866980316420277,freq_Communication,freq_Sports,freq_Tools,freq_Shopping,freq_Entertainment,freq_Communication,freq_Sports,,
24,24,94,,,0.5,0.5,dur_Entertainment,freq_Sports,dur_Comics,dur_Transportation,dur_Shopping,freq_Sports,dur_Entertainment,,
25,25,48,,,0.5103501891461649,0.48964981085383513,freq_Communication,freq_Tools,freq_Weather,dur_Games,freq_Sports,freq_Communication,dur_Games,,
26,26,7,,,0.5,0.5,freq_Sports,dur_Games,dur_Entertainment,dur_Shopping,freq_Productivity,dur_Entertainment,freq_Sports,,
27,27,16,,,0.5,0.5,freq_Shopping,freq_Sports,freq_Productivity,freq_Media...Video,freq_News...Magazines,freq_Sports,freq_Shopping,,
28,28,128,,,0.5,0.5,freq_Sports,dur_Shopping,freq_Tools,freq_Shopping,dur_Games,dur_Shopping,freq_Sports,,
29,29,10,,,0.5,0.5,dur_Entertainment,freq_Sports,freq_Communication,freq_Weather,dur_Shopping,dur_Shopping,dur_Entertainment,,
30,30,2,,,0.5,0.5,dur_Games,freq_Sports,freq_News...Magazines,freq_Shopping,dur_Shopping,dur_Games,dur_Health...Fitness,,
31,31,51,,,0.513170714781622,0.4868292852183778,freq_Communication,freq_Weather,dur_Games,freq_News...Magazines,freq_Sports,freq_Communication,dur_Games,,
32,32,101,,,0.5,0.5,dur_Entertainment,freq_Tools,dur_Comics,freq_Shopping,freq_Weather,freq_Tools,dur_Entertainment,,
33,33,116,,,0.5,0.5,freq_Communication,dur_Entertainment,freq_Tools,freq_Weather,freq_Sports,freq_Communication,dur_Entertainment,,
34,34,30,,,0.5,0.5,freq_Sports,freq_Shopping,freq_Communication,freq_Tools,dur_Comics,freq_Sports,freq_Shopping,,
