,index,instance,trait,trait_predicted,low_prob,high_prob,most_contribute_1,most_contribute_2,most_contribute_3,most_contribute_4,most_contribute_5,most_contribute_to_low,most_contribute_to_high,Unnamed: 13,accuracy
0,0,26,,,0.6666666666666666,0.3333333333333333,freq_Games,freq_Communication,freq_Social,freq_Unknown,freq_Browser,freq_Communication,freq_Games,,
1,1,8,,,1.0,0.0,freq_Games,freq_Communication,freq_Unknown,freq_Social,freq_Browser,freq_Communication,freq_Games,,
2,2,86,,,0.6666666666666666,0.3333333333333333,freq_Games,freq_Unknown,freq_Social,freq_Communication,freq_Browser,freq_Unknown,freq_Games,,
3,3,78,,,0.6666666666666666,0.3333333333333333,freq_Social,freq_Games,freq_Communication,freq_Unknown,freq_Browser,freq_Social,freq_Communication,,
4,4,43,,,0.3333333333333333,0.6666666666666666,freq_Games,freq_Unknown,freq_Communication,freq_News...Magazines,freq_Travel...Local,freq_Games,freq_Unknown,,
5,5,85,,,0.3333333333333333,0.6666666666666666,freq_Games,freq_Communication,freq_Unknown,dur_calls,dur_Business,freq_Games,freq_Communication,,
6,6,22,,,0.3333333333333333,0.6666666666666666,freq_Social,freq_Unknown,freq_Games,dur_Comics,freq_Browser,freq_Games,freq_Social,,
7,7,50,,,0.3333333333333333,0.6666666666666666,freq_Games,freq_Communication,freq_Unknown,freq_Social,dur_Travel...Local,freq_Games,freq_Communication,,
8,8,45,,,0.3333333333333333,0.6666666666666666,freq_Games,freq_Unknown,freq_Communication,freq_Browser,freq_Tools,freq_Unknown,freq_Games,,
9,9,24,,,0.3333333333333333,0.6666666666666666,freq_Games,freq_Unknown,freq_Communication,freq_Comics,dur_calls,freq_Comics,freq_Games,,
10,10,59,,,0.3333333333333333,0.6666666666666666,freq_Games,freq_Communication,freq_Unknown,freq_Tools,freq_calls,freq_Games,freq_Communication,,
11,11,113,,,0.6666666666666666,0.3333333333333333,freq_Communication,freq_Games,freq_Social,freq_Unknown,freq_Browser,freq_Games,freq_Communication,,
12,12,54,,,0.0,1.0,freq_Games,freq_Social,freq_Unknown,freq_Communication,freq_Browser,freq_calls,freq_Games,,
13,13,27,,,0.6666666666666666,0.3333333333333333,freq_Unknown,freq_Games,freq_Communication,freq_Personalization,dur_calls,freq_Games,freq_Unknown,,
14,14,62,,,0.3333333333333333,0.6666666666666666,freq_Games,freq_Unknown,dur_Comics,freq_Communication,freq_calls,freq_Games,freq_Unknown,,
15,15,115,,,0.6666666666666666,0.3333333333333333,freq_Browser,freq_Unknown,freq_Communication,freq_Games,freq_Tools,freq_Games,freq_Browser,,
16,16,114,,,0.6666666666666666,0.3333333333333333,freq_Games,freq_Communication,freq_Unknown,freq_Lifestyle,freq_calls,freq_Games,freq_Communication,,
17,17,122,,,0.6666666666666666,0.3333333333333333,freq_Unknown,freq_Games,dur_Comics,freq_Communication,dur_Travel...Local,freq_Unknown,dur_Comics,,
18,18,104,,,0.3333333333333333,0.6666666666666666,freq_Games,freq_Social,freq_Communication,freq_Unknown,freq_Comics,dur_Personalization,freq_Games,,
19,19,84,,,0.0,1.0,freq_Games,freq_Unknown,freq_Communication,freq_Browser,dur_Games,freq_Browser,freq_Games,,
20,20,60,,,0.6666666666666666,0.3333333333333333,freq_Communication,freq_Games,freq_Browser,dur_Comics,freq_Social,freq_Communication,freq_Unknown,,
21,21,18,,,0.3333333333333333,0.6666666666666666,freq_Games,freq_Social,freq_Unknown,freq_Communication,freq_Tools,freq_Social,freq_Games,,
22,22,92,,,0.3333333333333333,0.6666666666666666,freq_Social,freq_Unknown,freq_Games,freq_Communication,freq_Lifestyle,freq_Social,freq_Unknown,,
23,23,33,,,0.6666666666666666,0.3333333333333333,freq_Unknown,freq_Communication,freq_Social,freq_Games,freq_Browser,freq_Unknown,freq_Social,,
24,24,94,,,0.6666666666666666,0.3333333333333333,freq_Unknown,freq_Social,freq_Communication,freq_Games,freq_Browser,freq_Unknown,freq_Communication,,
25,25,48,,,1.0,0.0,freq_Unknown,freq_Communication,freq_Social,freq_Games,freq_Tools,freq_Unknown,freq_Tools,,
26,26,7,,,0.6666666666666666,0.3333333333333333,freq_Games,freq_Unknown,freq_Communication,dur_Comics,freq_Social,freq_Games,freq_Unknown,,
27,27,16,,,0.6666666666666666,0.3333333333333333,freq_Games,freq_Unknown,freq_Social,freq_Communication,freq_Photography,freq_Unknown,freq_Games,,
28,28,128,,,0.6666666666666666,0.3333333333333333,freq_Games,freq_Unknown,freq_Communication,freq_Social,freq_Education,freq_Games,freq_Unknown,,
29,29,10,,,0.6666666666666666,0.3333333333333333,freq_Communication,freq_Games,freq_Unknown,dur_Comics,freq_Browser,freq_Games,freq_Communication,,
30,30,2,,,0.6666666666666666,0.3333333333333333,freq_Games,freq_Communication,freq_Unknown,freq_Music...Audio,dur_Productivity,freq_Games,freq_Communication,,
31,31,51,,,0.6666666666666666,0.3333333333333333,freq_Communication,freq_Social,freq_Games,freq_Unknown,dur_Games,freq_Communication,freq_Unknown,,
32,32,101,,,1.0,0.0,freq_Unknown,freq_Games,freq_Communication,freq_Tools,freq_Social,freq_Unknown,freq_Communication,,
33,33,116,,,1.0,0.0,freq_Communication,freq_Social,freq_Browser,freq_Games,freq_Unknown,freq_Communication,freq_Unknown,,
34,34,30,,,0.6666666666666666,0.3333333333333333,freq_Unknown,freq_Communication,freq_Social,freq_Games,dur_Comics,freq_Social,freq_Unknown,,
