,index,instance,trait,trait_predicted,low_prob,high_prob,most_contribute_1,most_contribute_2,most_contribute_3,most_contribute_4,most_contribute_5,most_contribute_to_low,most_contribute_to_high,Unnamed: 13,accuracy
0,0,26,,,0.546875,0.453125,dur_Business,freq_Transportation,freq_Photography,freq_Games,dur_News...Magazines,dur_Business,freq_Transportation,,
1,1,8,,,0.328125,0.671875,freq_Photography,freq_Games,freq_Transportation,dur_Photography,freq_Business,freq_Photography,freq_Games,,
2,2,86,,,0.5,0.5,dur_Travel...Local,freq_Games,freq_Photography,freq_Business,dur_Shopping,dur_Travel...Local,freq_Games,,
3,3,78,,,0.296875,0.703125,freq_Tools,dur_Photography,dur_Shopping,dur_Personalization,freq_Books...Reference,freq_Books...Reference,freq_Tools,,
4,4,43,,,0.53125,0.46875,dur_Business,dur_Unknown,freq_Tools,dur_Travel...Local,dur_Photography,dur_Business,freq_Tools,,
5,5,85,,,0.4375,0.5625,dur_Travel...Local,freq_Tools,dur_Business,dur_Photography,dur_Personalization,dur_Travel...Local,freq_Tools,,
6,6,22,,,0.578125,0.421875,dur_Business,dur_Travel...Local,freq_Tools,freq_Business,dur_News...Magazines,dur_Business,dur_Travel...Local,,
7,7,50,,,0.53125,0.46875,dur_Business,freq_Tools,dur_Travel...Local,dur_News...Magazines,dur_Personalization,dur_Business,freq_Tools,,
8,8,45,,,0.5,0.5,dur_Unknown,freq_Games,freq_Photography,freq_Productivity,freq_Books...Reference,dur_Unknown,freq_Games,,
9,9,24,,,0.390625,0.609375,dur_Business,freq_Tools,freq_Games,dur_Travel...Local,dur_Photography,dur_Business,freq_Tools,,
10,10,59,,,0.578125,0.421875,dur_Unknown,dur_Travel...Local,freq_Transportation,dur_Business,dur_Personalization,dur_Unknown,dur_Business,,
11,11,113,,,0.5625,0.4375,dur_Business,dur_Photography,dur_Travel...Local,freq_Business,dur_Personalization,dur_Business,dur_Travel...Local,,
12,12,54,,,0.65625,0.34375,freq_Transportation,freq_Games,freq_Tools,freq_Photography,dur_Photography,freq_Transportation,freq_Games,,
13,13,27,,,0.40625,0.59375,dur_Unknown,dur_Business,freq_Photography,dur_News...Magazines,dur_Browser,dur_Unknown,dur_Business,,
14,14,62,,,0.703125,0.296875,dur_Business,dur_Unknown,dur_Travel...Local,freq_Transportation,freq_Tools,dur_Business,freq_Tools,,
15,15,115,,,0.484375,0.515625,dur_Unknown,dur_Travel...Local,dur_News...Magazines,freq_Books...Reference,freq_Comics,dur_Unknown,dur_Travel...Local,,
16,16,114,,,0.75,0.25,dur_Business,freq_Transportation,dur_Photography,dur_News...Magazines,dur_Unknown,dur_Business,dur_Unknown,,
17,17,122,,,0.453125,0.546875,freq_Tools,freq_Transportation,dur_News...Magazines,dur_Business,freq_Productivity,dur_News...Magazines,freq_Tools,,
18,18,104,,,0.328125,0.671875,dur_Unknown,freq_Games,dur_News...Magazines,dur_Travel...Local,freq_Tools,dur_Unknown,freq_Games,,
19,19,84,,,0.609375,0.390625,dur_Business,dur_Unknown,freq_Games,freq_Transportation,freq_Photography,dur_Business,freq_Games,,
20,20,60,,,0.515625,0.484375,dur_News...Magazines,freq_Transportation,freq_Photography,dur_Business,freq_Productivity,freq_Transportation,dur_News...Magazines,,
21,21,18,,,0.421875,0.578125,freq_Games,freq_Photography,freq_Productivity,dur_News...Magazines,freq_Business,dur_News...Magazines,freq_Games,,
22,22,92,,,0.3125,0.6875,dur_Travel...Local,freq_Tools,freq_Photography,dur_News...Magazines,dur_Business,dur_Travel...Local,freq_Tools,,
23,23,33,,,0.53125,0.46875,freq_Photography,freq_Business,freq_Productivity,freq_Books...Reference,dur_Personalization,freq_Photography,freq_Productivity,,
24,24,94,,,0.5625,0.4375,freq_Transportation,dur_News...Magazines,dur_Photography,freq_Productivity,freq_Business,freq_Transportation,dur_Photography,,
25,25,48,,,0.484375,0.515625,freq_Productivity,freq_Business,freq_Books...Reference,dur_Lifestyle,dur_Personalization,freq_Business,freq_Productivity,,
26,26,7,,,0.4375,0.5625,dur_Travel...Local,freq_Tools,dur_Personalization,freq_Transportation,dur_News...Magazines,dur_News...Magazines,dur_Travel...Local,,
27,27,16,,,0.359375,0.640625,dur_Business,freq_Games,dur_Travel...Local,freq_Photography,dur_News...Magazines,dur_Business,freq_Games,,
28,28,128,,,0.53125,0.46875,dur_Unknown,freq_Transportation,dur_Travel...Local,freq_Tools,dur_Photography,dur_Unknown,dur_Travel...Local,,
29,29,10,,,0.484375,0.515625,dur_Business,dur_Travel...Local,dur_Lifestyle,dur_News...Magazines,freq_Books...Reference,dur_Business,dur_Travel...Local,,
30,30,2,,,0.328125,0.671875,dur_Unknown,dur_Travel...Local,dur_Business,freq_Photography,dur_Photography,dur_Unknown,dur_Travel...Local,,
31,31,51,,,0.65625,0.34375,dur_Business,dur_Travel...Local,freq_Photography,freq_Business,dur_Personalization,dur_Business,dur_Personalization,,
32,32,101,,,0.5,0.5,freq_Transportation,dur_News...Magazines,freq_Photography,freq_Business,freq_Books...Reference,freq_Transportation,dur_News...Magazines,,
33,33,116,,,0.625,0.375,freq_Transportation,dur_Travel...Local,freq_Photography,freq_Business,freq_Productivity,freq_Transportation,freq_Productivity,,
34,34,30,,,0.234375,0.765625,freq_Photography,freq_Tools,freq_Comics,dur_Photography,freq_Business,freq_Comics,freq_Photography,,
