,index,instance,trait,trait_predicted,low_prob,high_prob,most_contribute_1,most_contribute_2,most_contribute_3,most_contribute_4,most_contribute_5,most_contribute_to_low,most_contribute_to_high,Unnamed: 13,accuracy
0,0,26,,,0.7354444402435407,0.2645555597564593,freq_Games,dur_Books...Reference,dur_Health...Fitness,dur_Comics,freq_Shopping,dur_Books...Reference,freq_Games,,
1,1,8,,,0.008786385949552054,0.9912136140504478,freq_Games,dur_Comics,dur_Books...Reference,freq_Medical,freq_calls,dur_Comics,freq_Games,,
2,2,86,,,0.8315184422253569,0.16848155777464308,freq_Games,dur_Comics,dur_Health...Fitness,freq_Shopping,freq_Travel...Local,dur_Health...Fitness,freq_Games,,
3,3,78,,,0.45746382278312514,0.542536177216875,dur_Comics,dur_Health...Fitness,freq_Games,freq_Medical,freq_Productivity,dur_Comics,dur_Health...Fitness,,
4,4,43,,,0.9995666843118078,0.00043331568819219093,dur_Comics,dur_Health...Fitness,freq_Games,freq_Medical,dur_Books...Reference,dur_Comics,dur_Books...Reference,,
5,5,85,,,0.9893720564544684,0.010627943545531754,dur_Health...Fitness,dur_Comics,freq_Games,freq_Medical,dur_Books...Reference,dur_Comics,dur_Health...Fitness,,
6,6,22,,,9.780947298368816e-06,0.9999902190527017,dur_Health...Fitness,dur_Books...Reference,dur_Comics,freq_Medical,dur_Games,dur_Books...Reference,dur_Health...Fitness,,
7,7,50,,,0.9999997785117967,2.2148820328498773e-07,dur_Comics,dur_Books...Reference,freq_Games,dur_Health...Fitness,dur_News...Magazines,dur_Comics,dur_Travel...Local,,
8,8,45,,,0.8468199300980779,0.15318006990192215,freq_Games,dur_Games,dur_Comics,dur_Health...Fitness,freq_calls,dur_Games,freq_Games,,
9,9,24,,,0.031880208742749674,0.9681197912572503,freq_Games,dur_Health...Fitness,dur_Comics,freq_Medical,dur_News...Magazines,dur_Comics,freq_Games,,
10,10,59,,,0.30838462871821504,0.691615371281785,dur_Comics,dur_Health...Fitness,freq_Games,dur_News...Magazines,freq_calls,dur_Comics,freq_calls,,
11,11,113,,,0.9250667667912197,0.07493323320878043,dur_Books...Reference,dur_Health...Fitness,freq_Medical,dur_Business,dur_Comics,dur_Books...Reference,dur_Travel...Local,,
12,12,54,,,0.9994333509450233,0.0005666490549767734,freq_Games,dur_Books...Reference,dur_Comics,dur_Health...Fitness,dur_News...Magazines,dur_Books...Reference,freq_Games,,
13,13,27,,,0.3944330332431787,0.6055669667568213,freq_Games,dur_Health...Fitness,dur_Comics,freq_Medical,dur_News...Magazines,freq_Games,dur_Games,,
14,14,62,,,0.8957134299640453,0.10428657003595469,dur_Comics,freq_Games,dur_Health...Fitness,freq_calls,freq_Medical,dur_Comics,freq_calls,,
15,15,115,,,0.6475604855922663,0.35243951440773374,dur_Books...Reference,dur_Comics,dur_Health...Fitness,dur_Games,freq_Productivity,dur_Books...Reference,dur_Comics,,
16,16,114,,,0.9953139349479513,0.004686065052048771,dur_Comics,dur_Health...Fitness,dur_Games,freq_Games,dur_News...Magazines,dur_Comics,dur_Personalization,,
17,17,122,,,0.8315926403566456,0.1684073596433545,dur_Comics,freq_Games,dur_Health...Fitness,freq_Transportation,dur_News...Magazines,dur_Comics,freq_Transportation,,
18,18,104,,,0.011288524514138303,0.9887114754858617,freq_Games,dur_Comics,dur_News...Magazines,dur_Health...Fitness,dur_Social,dur_Comics,freq_Games,,
19,19,84,,,0.013151198262203555,0.9868488017377964,freq_Games,dur_Comics,dur_Games,dur_Health...Fitness,dur_Social,dur_Comics,freq_Games,,
20,20,60,,,0.5801184082415001,0.4198815917585,dur_News...Magazines,dur_Comics,dur_Health...Fitness,freq_Travel...Local,freq_Games,dur_Comics,dur_News...Magazines,,
21,21,18,,,0.014618718671699237,0.9853812813283008,freq_Games,dur_Comics,dur_Health...Fitness,dur_News...Magazines,freq_Medical,dur_Comics,freq_Games,,
22,22,92,,,0.17041624512866083,0.8295837548713393,dur_News...Magazines,dur_Comics,dur_Health...Fitness,dur_Social,freq_Productivity,dur_Comics,dur_News...Magazines,,
23,23,33,,,0.954623871751675,0.04537612824832507,dur_Comics,freq_Games,dur_Health...Fitness,freq_Medical,freq_Browser,dur_Comics,freq_Browser,,
24,24,94,,,0.9956245349515849,0.004375465048415208,dur_Health...Fitness,dur_Comics,dur_News...Magazines,freq_Medical,dur_Books...Reference,dur_Comics,dur_Health...Fitness,,
25,25,48,,,0.9997694244269353,0.00023057557306482675,dur_Books...Reference,dur_Comics,freq_Games,freq_Medical,freq_Media...Video,dur_Books...Reference,dur_Lifestyle,,
26,26,7,,,0.9489703681914387,0.051029631808561404,dur_Comics,freq_Games,dur_Health...Fitness,freq_Transportation,freq_Medical,dur_Comics,freq_Transportation,,
27,27,16,,,0.35842059515585667,0.6415794048441433,freq_Games,dur_News...Magazines,dur_Comics,dur_Books...Reference,freq_Shopping,dur_Comics,freq_Games,,
