,index,instance,trait,trait_predicted,low_prob,high_prob,most_contribute_1,most_contribute_2,most_contribute_3,most_contribute_4,most_contribute_5,most_contribute_to_low,most_contribute_to_high,Unnamed: 13,accuracy
0,0,26,,,0.4204761619594012,0.5795238380405988,freq_Games,freq_Social,freq_Communication,freq_Browser,freq_Productivity,freq_Social,freq_Games,,
1,1,8,,,0.5060234830306447,0.49397651696935546,freq_Games,freq_Communication,freq_Browser,freq_Social,freq_Tools,freq_Communication,freq_Games,,
2,2,86,,,0.5672767122337745,0.43272328776622543,freq_Games,freq_Productivity,freq_Browser,freq_Entertainment,freq_Social,freq_Productivity,freq_Games,,
3,3,78,,,0.5170359884486503,0.48296401155134966,freq_Productivity,freq_Social,freq_Games,dur_Games,freq_Sports,freq_Productivity,dur_Games,,
4,4,43,,,0.5405518305829622,0.45944816941703764,freq_Sports,dur_calls,freq_Games,freq_Communication,freq_calls,freq_Games,freq_Sports,,
5,5,85,,,0.4676049974436332,0.5323950025563668,dur_Games,freq_Games,dur_calls,freq_Browser,freq_Sports,freq_Games,dur_Games,,
6,6,22,,,0.46340843378270075,0.5365915662172992,dur_Games,freq_Games,freq_Social,freq_Sports,freq_Communication,dur_Games,freq_Social,,
7,7,50,,,0.47836203309620934,0.5216379669037907,freq_Games,dur_Games,freq_Sports,freq_Browser,freq_Tools,freq_Games,dur_Games,,
8,8,45,,,0.6138825065092398,0.38611749349076024,freq_Games,dur_Games,freq_Communication,freq_calls,freq_Sports,dur_Games,freq_Games,,
9,9,24,,,0.4682414163611676,0.5317585836388324,freq_Games,freq_Browser,freq_Sports,dur_calls,freq_calls,freq_Browser,freq_Games,,
10,10,59,,,0.4559989990698657,0.5440010009301344,freq_Games,dur_Games,freq_calls,freq_Sports,freq_Browser,freq_Games,dur_Games,,
11,11,113,,,0.5467422652683483,0.45325773473165143,freq_Sports,freq_calls,freq_Games,dur_Business,freq_Communication,freq_Games,freq_Sports,,
12,12,54,,,0.4717982603512103,0.5282017396487896,freq_Games,freq_Social,freq_Sports,freq_calls,freq_Books...Reference,freq_Books...Reference,freq_Games,,
13,13,27,,,0.46479672230664537,0.5352032776933547,dur_Games,freq_Games,dur_calls,freq_Sports,freq_Browser,freq_Games,dur_Games,,
14,14,62,,,0.42995640738969054,0.5700435926103095,freq_Productivity,dur_Games,freq_calls,freq_Games,freq_Sports,freq_Productivity,dur_Games,,
15,15,115,,,0.4921643892889619,0.507835610711038,dur_Games,freq_Productivity,freq_Entertainment,freq_Tools,freq_Sports,dur_Games,freq_Entertainment,,
16,16,114,,,0.592365882248157,0.407634117751843,dur_Games,dur_calls,freq_Games,freq_Sports,dur_Business,dur_Games,dur_calls,,
17,17,122,,,0.46197251876275286,0.5380274812372472,dur_Games,freq_Games,freq_Books...Reference,freq_Sports,freq_Browser,freq_Games,dur_Games,,
18,18,104,,,0.47742787965470196,0.5225721203452981,freq_Games,freq_Social,freq_Shopping,freq_Browser,dur_News...Magazines,freq_Browser,freq_Games,,
19,19,84,,,0.3681569016731237,0.6318430983268762,freq_Games,dur_Games,freq_Browser,freq_Sports,freq_Communication,dur_Games,freq_Games,,
20,20,60,,,0.4818999884512702,0.5181000115487299,freq_Communication,freq_Browser,freq_Games,freq_Sports,dur_News...Magazines,freq_Communication,freq_Browser,,
21,21,18,,,0.4013584923705956,0.5986415076294044,freq_Games,freq_Social,freq_Sports,dur_calls,freq_Communication,freq_Social,freq_Games,,
22,22,92,,,0.5,0.5,freq_Social,freq_Productivity,freq_Sports,freq_Games,freq_Communication,freq_Social,freq_Sports,,
23,23,33,,,0.6381014086683344,0.3618985913316656,freq_Communication,freq_Browser,freq_Games,freq_Tools,freq_Sports,freq_Communication,freq_Browser,,
24,24,94,,,0.345353210008344,0.6546467899916559,freq_Social,freq_Sports,freq_Communication,freq_calls,dur_calls,freq_Social,freq_Communication,,
25,25,48,,,0.8402072046797643,0.15979279532023585,freq_Communication,freq_Social,freq_Games,freq_Tools,dur_Games,freq_Communication,dur_Games,,
26,26,7,,,0.48611778153098134,0.5138822184690186,dur_Games,freq_Browser,freq_Games,freq_Sports,freq_Transportation,freq_Browser,dur_Games,,
27,27,16,,,0.580660904305304,0.419339095694696,freq_Games,freq_Social,freq_Productivity,freq_Sports,dur_Lifestyle,freq_Social,freq_Games,,
28,28,128,,,0.5086204486364355,0.4913795513635643,freq_Games,dur_Games,freq_Sports,freq_Browser,freq_Communication,freq_Games,dur_Games,,
29,29,10,,,0.5167350796520869,0.4832649203479131,freq_Sports,dur_calls,freq_Games,freq_Productivity,dur_Lifestyle,freq_Games,freq_Sports,,
30,30,2,,,0.5,0.5,dur_Games,freq_calls,freq_Browser,freq_Sports,freq_Games,dur_Games,freq_Communication,,
31,31,51,,,0.598921720544643,0.4010782794553571,freq_Communication,freq_Social,dur_Games,freq_Games,freq_Sports,freq_Communication,dur_Games,,
32,32,101,,,0.4817652723508517,0.5182347276491484,freq_Entertainment,freq_Tools,freq_Sports,freq_Productivity,freq_Books...Reference,freq_Tools,freq_Entertainment,,
33,33,116,,,0.5,0.5,freq_Communication,freq_Social,freq_Browser,freq_Entertainment,freq_Tools,freq_Communication,freq_Browser,,
34,34,30,,,0.5056088711690512,0.49439112883094904,freq_Shopping,dur_Games,freq_Sports,freq_Games,freq_Tools,freq_Sports,freq_Shopping,,
