,index,instance,trait,trait_predicted,low_prob,high_prob,most_contribute_1,most_contribute_2,most_contribute_3,most_contribute_4,most_contribute_5,most_contribute_to_low,most_contribute_to_high,Unnamed: 13,accuracy
0,0,26,,,1.0,0.0,freq_Social,freq_Communication,freq_Browser,freq_Unknown,freq_Games,freq_Social,freq_Games,,
1,1,8,,,0.3333333333333333,0.6666666666666666,freq_Unknown,freq_Social,freq_Communication,freq_calls,freq_Browser,freq_Social,freq_Unknown,,
2,2,86,,,0.6666666666666666,0.3333333333333333,freq_Communication,freq_Unknown,freq_Browser,freq_Tools,freq_Social,freq_Communication,freq_Unknown,,
3,3,78,,,1.0,0.0,freq_Communication,freq_Social,freq_Unknown,freq_calls,freq_Browser,freq_Communication,freq_Browser,,
4,4,43,,,0.6666666666666666,0.3333333333333333,freq_Communication,freq_Unknown,dur_calls,freq_calls,freq_Social,freq_Communication,freq_Social,,
5,5,85,,,0.6666666666666666,0.3333333333333333,freq_Communication,freq_Unknown,freq_Social,dur_calls,freq_Games,freq_Unknown,freq_Communication,,
6,6,22,,,0.3333333333333333,0.6666666666666666,freq_Communication,freq_Social,freq_Unknown,Education_lev,dur_Comics,freq_Communication,freq_Social,,
7,7,50,,,1.0,0.0,freq_Communication,freq_Unknown,freq_Social,freq_calls,freq_Sports,freq_Communication,freq_Social,,
8,8,45,,,0.3333333333333333,0.6666666666666666,freq_Unknown,freq_Communication,freq_calls,freq_Social,freq_Games,freq_Communication,freq_Unknown,,
9,9,24,,,0.6666666666666666,0.3333333333333333,freq_Communication,freq_Unknown,freq_Games,freq_calls,freq_Sports,freq_Communication,freq_Games,,
10,10,59,,,0.0,1.0,freq_Communication,freq_calls,freq_Unknown,freq_Social,freq_Photography,freq_Unknown,freq_Communication,,
11,11,113,,,0.6666666666666666,0.3333333333333333,freq_Communication,freq_Unknown,freq_calls,freq_Social,freq_Weather,freq_Communication,freq_Social,,
12,12,54,,,1.0,0.0,freq_Communication,freq_Unknown,freq_Social,dur_Comics,freq_Browser,freq_Communication,freq_Social,,
13,13,27,,,0.0,1.0,freq_Communication,freq_Unknown,dur_calls,freq_Social,dur_Comics,freq_Communication,freq_Social,,
14,14,62,,,0.0,1.0,freq_Communication,freq_calls,freq_Unknown,freq_Tools,freq_Social,freq_Communication,freq_calls,,
15,15,115,,,0.3333333333333333,0.6666666666666666,freq_Communication,freq_Unknown,freq_Social,freq_Tools,dur_calls,freq_Communication,freq_Social,,
16,16,114,,,0.6666666666666666,0.3333333333333333,freq_Communication,freq_Unknown,freq_Social,dur_calls,freq_Comics,freq_Unknown,freq_Communication,,
17,17,122,,,0.0,1.0,freq_Unknown,freq_Communication,freq_Tools,freq_Social,freq_calls,freq_calls,freq_Unknown,,
18,18,104,,,0.6666666666666666,0.3333333333333333,freq_Communication,freq_Unknown,freq_Social,freq_Games,freq_Tools,freq_Communication,freq_Social,,
19,19,84,,,0.3333333333333333,0.6666666666666666,freq_Communication,freq_Unknown,freq_Social,freq_Browser,freq_calls,freq_Communication,freq_Social,,
20,20,60,,,0.6666666666666666,0.3333333333333333,freq_Communication,freq_Unknown,freq_Browser,freq_Social,dur_Comics,freq_Communication,freq_Social,,
21,21,18,,,1.0,0.0,freq_Communication,freq_Social,freq_Unknown,dur_calls,freq_Games,freq_Communication,freq_Games,,
22,22,92,,,1.0,0.0,freq_Communication,freq_Social,freq_Unknown,freq_Browser,freq_Tools,freq_Communication,freq_Browser,,
23,23,33,,,0.6666666666666666,0.3333333333333333,freq_Unknown,freq_Communication,freq_Browser,freq_Tools,freq_Social,freq_Communication,freq_Unknown,,
24,24,94,,,0.3333333333333333,0.6666666666666666,freq_Communication,freq_Unknown,freq_Social,freq_Browser,freq_calls,freq_Communication,freq_Unknown,,
25,25,48,,,0.3333333333333333,0.6666666666666666,freq_Unknown,freq_Social,freq_Communication,freq_Tools,freq_Browser,freq_Social,freq_Unknown,,
26,26,7,,,0.3333333333333333,0.6666666666666666,freq_Communication,freq_Unknown,freq_Social,dur_Comics,freq_calls,freq_Communication,freq_Social,,
27,27,16,,,1.0,0.0,freq_Communication,freq_Unknown,freq_Social,freq_calls,freq_Games,freq_Communication,freq_Unknown,,
28,28,128,,,0.3333333333333333,0.6666666666666666,freq_Communication,freq_Unknown,freq_Social,freq_calls,dur_Comics,freq_Communication,freq_Social,,
29,29,10,,,0.3333333333333333,0.6666666666666666,freq_Communication,freq_Unknown,freq_Social,dur_calls,dur_Comics,freq_Unknown,freq_Communication,,
30,30,2,,,0.3333333333333333,0.6666666666666666,freq_Communication,freq_calls,freq_Unknown,dur_Comics,freq_Social,freq_Communication,freq_calls,,
31,31,51,,,0.6666666666666666,0.3333333333333333,freq_Social,freq_Communication,freq_Unknown,freq_Browser,freq_Sports,freq_Social,freq_Browser,,
32,32,101,,,0.3333333333333333,0.6666666666666666,freq_Unknown,freq_Communication,freq_Tools,freq_calls,freq_Social,freq_Tools,freq_Unknown,,
33,33,116,,,0.6666666666666666,0.3333333333333333,freq_Social,freq_Communication,freq_calls,freq_Unknown,freq_Browser,freq_Social,freq_calls,,
34,34,30,,,0.3333333333333333,0.6666666666666666,freq_Communication,freq_Unknown,freq_Social,freq_Browser,freq_Games,freq_Unknown,freq_Communication,,
