,index,instance,trait,trait_predicted,low_prob,high_prob,most_contribute_1,most_contribute_2,most_contribute_3,most_contribute_4,most_contribute_5,most_contribute_to_low,most_contribute_to_high,Unnamed: 13,accuracy
0,0,26,,,0.9994622882492112,0.0005377117507887882,dur_Personalization,Gender,freq_Medical,freq_calls,freq_Comics,Gender,dur_Personalization,,
1,1,8,,,0.16775121012634342,0.8322487898736566,freq_calls,freq_Unknown,freq_Comics,dur_Personalization,Gender,freq_Business,freq_calls,,
2,2,86,,,1.3606893389805919e-11,0.9999999999863931,freq_Unknown,dur_Personalization,Gender,freq_Travel...Local,freq_calls,dur_Personalization,freq_Unknown,,
3,3,78,,,0.253894906960223,0.746105093039777,dur_Personalization,Gender,freq_Medical,freq_Books...Reference,freq_Comics,freq_Medical,dur_Personalization,,
4,4,43,,,0.022468986341369734,0.9775310136586303,dur_Personalization,Gender,dur_Comics,freq_Comics,freq_calls,dur_Comics,dur_Personalization,,
5,5,85,,,0.0027310415114976117,0.9972689584885024,dur_Personalization,Gender,freq_Comics,freq_Medical,freq_Sports,Gender,dur_Personalization,,
6,6,22,,,0.4000320193750928,0.5999679806249072,dur_Personalization,Gender,freq_Comics,freq_Medical,freq_calls,freq_Medical,dur_Personalization,,
7,7,50,,,0.9999984029213322,1.597078667792479e-06,dur_Personalization,freq_Comics,Gender,freq_Medical,freq_Sports,freq_Medical,dur_Personalization,,
8,8,45,,,0.9999999923246313,7.675368670958085e-09,freq_calls,freq_Unknown,dur_Personalization,Gender,freq_Medical,dur_Personalization,freq_calls,,
9,9,24,,,0.48005933218587793,0.5199406678141221,dur_Personalization,freq_Comics,Gender,freq_Medical,freq_Sports,freq_Medical,dur_Personalization,,
10,10,59,,,0.012312670057304187,0.9876873299426958,freq_calls,dur_Personalization,freq_Comics,Gender,freq_Medical,Gender,freq_calls,,
11,11,113,,,0.6915216493836984,0.3084783506163015,dur_Personalization,Gender,freq_Comics,dur_Comics,freq_Medical,dur_Comics,dur_Personalization,,
12,12,54,,,0.997669797458513,0.0023302025414870245,dur_Personalization,Gender,freq_Comics,freq_calls,freq_Medical,freq_calls,dur_Personalization,,
13,13,27,,,0.013210516202404765,0.9867894837975952,dur_Personalization,Gender,freq_Comics,freq_Medical,dur_Comics,freq_Medical,dur_Personalization,,
14,14,62,,,1.3444968056663953e-06,0.9999986555031943,freq_calls,dur_Personalization,Gender,freq_Comics,freq_Medical,freq_Medical,freq_calls,,
15,15,115,,,0.9895225824111624,0.01047741758883753,dur_Personalization,Gender,freq_Medical,freq_Comics,freq_Books...Reference,Gender,dur_Personalization,,
16,16,114,,,0.9148269616757365,0.08517303832426348,dur_Personalization,Gender,freq_Comics,freq_Medical,freq_Sports,freq_Medical,dur_Personalization,,
17,17,122,,,0.010516165055019955,0.98948383494498,freq_Unknown,dur_Personalization,Gender,freq_Medical,freq_Comics,Gender,freq_Unknown,,
18,18,104,,,0.000731367760235857,0.9992686322397641,dur_Personalization,freq_Comics,Gender,dur_News...Magazines,freq_Medical,freq_Medical,dur_Personalization,,
19,19,84,,,8.165664300285869e-08,0.999999918343357,dur_Personalization,Gender,freq_Comics,freq_Medical,freq_calls,freq_Medical,dur_Personalization,,
20,20,60,,,0.3475145628777023,0.6524854371222977,dur_Personalization,freq_Travel...Local,Gender,freq_Medical,dur_News...Magazines,freq_Travel...Local,dur_Personalization,,
21,21,18,,,0.9999985208571297,1.4791428702528665e-06,dur_Personalization,Gender,freq_Comics,freq_Medical,freq_Business,dur_Personalization,freq_Comics,,
22,22,92,,,0.03150270976594327,0.9684972902340567,dur_Personalization,Gender,freq_Comics,freq_Medical,freq_Sports,Gender,dur_Personalization,,
23,23,33,,,0.993380171396604,0.006619828603396012,freq_Unknown,dur_Personalization,Gender,freq_Medical,freq_Business,dur_Personalization,freq_Unknown,,
24,24,94,,,0.9537725304807972,0.046227469519202764,dur_Personalization,freq_Unknown,Gender,freq_Medical,freq_calls,Gender,dur_Personalization,,
25,25,48,,,2.434700549724944e-06,0.9999975652994503,dur_Personalization,freq_Unknown,Gender,freq_Medical,freq_calls,Gender,dur_Personalization,,
26,26,7,,,0.0017876959434699469,0.99821230405653,dur_Personalization,Gender,freq_Medical,freq_Comics,freq_calls,freq_Medical,dur_Personalization,,
27,27,16,,,0.9066959722222744,0.09330402777772562,dur_Personalization,freq_Unknown,freq_Comics,freq_Medical,Gender,Gender,dur_Personalization,,
28,28,128,,,0.014919262399686883,0.9850807376003131,dur_Personalization,Gender,freq_Medical,freq_Comics,freq_Sports,freq_Medical,dur_Personalization,,
29,29,10,,,0.07405177564100873,0.9259482243589913,dur_Personalization,Gender,freq_Comics,freq_Medical,dur_News...Magazines,Gender,dur_Personalization,,
30,30,2,,,0.8755562025537753,0.12444379744622469,freq_calls,dur_Personalization,Gender,freq_Medical,freq_Comics,freq_Medical,freq_calls,,
31,31,51,,,0.9994669795528877,0.0005330204471123801,dur_Personalization,Gender,freq_Travel...Local,freq_Comics,freq_Medical,freq_Travel...Local,dur_Personalization,,
32,32,101,,,0.25164869128142153,0.7483513087185785,dur_Personalization,freq_Unknown,freq_Comics,Gender,freq_Business,freq_Business,dur_Personalization,,
33,33,116,,,0.7371331640870606,0.26286683591293936,freq_calls,dur_Personalization,Gender,freq_Travel...Local,freq_Medical,freq_Travel...Local,freq_calls,,
34,34,30,,,0.9987996388909315,0.001200361109068554,dur_Personalization,Gender,freq_Comics,freq_Business,freq_Medical,Gender,dur_Personalization,,
