,index,instance,trait,trait_predicted,low_prob,high_prob,most_contribute_1,most_contribute_2,most_contribute_3,most_contribute_4,most_contribute_5,most_contribute_to_low,most_contribute_to_high,Unnamed: 13,accuracy
0,0,26,,,0.9649689659361133,0.035031034063886586,freq_Shopping,dur_Shopping,freq_Medical,dur_Personalization,freq_calls,freq_Shopping,dur_Shopping,,
1,1,8,,,0.5931686411832793,0.4068313588167207,freq_Shopping,freq_calls,freq_Unknown,dur_Personalization,freq_Medical,freq_Shopping,freq_calls,,
2,2,86,,,4.075630389012305e-05,0.9999592436961099,freq_Shopping,dur_Shopping,freq_Unknown,freq_Medical,dur_Personalization,freq_Shopping,dur_Shopping,,
3,3,78,,,0.30157519395433446,0.6984248060456656,dur_Shopping,freq_Medical,dur_Personalization,freq_Books...Reference,dur_Health...Fitness,freq_Medical,dur_Shopping,,
4,4,43,,,0.6156957157701034,0.3843042842298966,dur_Shopping,freq_Medical,freq_Shopping,dur_Personalization,dur_calls,dur_Shopping,freq_Shopping,,
5,5,85,,,0.22136075241865297,0.7786392475813471,dur_Shopping,freq_Medical,dur_Personalization,dur_calls,dur_Health...Fitness,dur_Shopping,dur_Personalization,,
6,6,22,,,0.0009930649040932084,0.9990069350959069,dur_Shopping,freq_Shopping,freq_Medical,dur_Personalization,freq_Business,dur_Shopping,freq_Shopping,,
7,7,50,,,0.9999995522465013,4.477534986468811e-07,dur_Shopping,freq_Shopping,freq_Medical,dur_Personalization,dur_Books...Reference,dur_Shopping,freq_Shopping,,
8,8,45,,,0.9999924568140679,7.543185931958658e-06,dur_Shopping,freq_calls,freq_Medical,freq_Unknown,dur_Personalization,dur_Shopping,freq_calls,,
9,9,24,,,0.9899369103243699,0.010063089675630044,dur_Shopping,freq_Shopping,dur_Personalization,freq_Medical,dur_calls,dur_Shopping,freq_Shopping,,
10,10,59,,,0.018513583433506644,0.9814864165664934,dur_Shopping,freq_calls,freq_Medical,freq_Shopping,dur_Personalization,dur_Shopping,freq_calls,,
11,11,113,,,0.5336074301364978,0.46639256986350225,dur_Shopping,freq_Shopping,freq_Medical,dur_Personalization,freq_Business,dur_Shopping,freq_Shopping,,
12,12,54,,,0.9976216587762677,0.002378341223732325,dur_Shopping,freq_Shopping,freq_Medical,dur_Personalization,freq_calls,dur_Shopping,freq_Shopping,,
13,13,27,,,0.4774357913082624,0.5225642086917376,dur_Shopping,freq_Shopping,dur_calls,freq_Medical,dur_Personalization,dur_Shopping,freq_Shopping,,
14,14,62,,,0.02566500892609257,0.9743349910739075,dur_Shopping,freq_calls,freq_Shopping,freq_Medical,dur_Personalization,dur_Shopping,freq_calls,,
15,15,115,,,0.48075759605651874,0.5192424039434813,dur_Shopping,freq_Shopping,freq_Medical,dur_calls,dur_Personalization,dur_Shopping,freq_Shopping,,
16,16,114,,,0.9118862440283112,0.08811375597168875,dur_Shopping,freq_Shopping,freq_Medical,dur_Personalization,dur_calls,dur_Shopping,freq_Shopping,,
17,17,122,,,0.13679327198006977,0.8632067280199303,dur_Shopping,freq_Shopping,freq_Medical,freq_Unknown,dur_Personalization,dur_Shopping,freq_Shopping,,
18,18,104,,,0.012748540196148723,0.9872514598038513,freq_Shopping,freq_Medical,dur_Personalization,dur_Social,dur_Health...Fitness,freq_Shopping,dur_Personalization,,
19,19,84,,,0.999999868106415,1.3189358517962359e-07,dur_Shopping,freq_Shopping,dur_Personalization,freq_Medical,freq_calls,dur_Shopping,freq_Shopping,,
20,20,60,,,0.6643350136232736,0.3356649863767263,dur_Shopping,freq_Shopping,freq_Medical,dur_Personalization,freq_Travel...Local,dur_Shopping,freq_Shopping,,
21,21,18,,,0.9937498710105557,0.006250128989444395,freq_Medical,dur_Personalization,dur_calls,freq_Business,dur_Comics,freq_Medical,freq_Shopping,,
22,22,92,,,0.25132711540168945,0.7486728845983106,dur_Shopping,freq_Shopping,freq_Medical,dur_Personalization,freq_News...Magazines,dur_Shopping,freq_Shopping,,
23,23,33,,,0.882770253336053,0.11722974666394713,freq_Unknown,freq_Medical,dur_Personalization,freq_Business,freq_Books...Reference,freq_Medical,freq_Unknown,,
24,24,94,,,0.9761302613848164,0.02386973861518364,dur_Shopping,freq_Medical,freq_Unknown,dur_Personalization,freq_calls,dur_Shopping,freq_Unknown,,
25,25,48,,,2.4751510286050666e-05,0.999975248489714,freq_Medical,freq_Unknown,dur_Personalization,freq_Business,freq_Shopping,freq_Medical,freq_Unknown,,
26,26,7,,,0.07069817956076789,0.929301820439232,dur_Shopping,freq_Medical,dur_Personalization,freq_calls,freq_Transportation,dur_Shopping,dur_Personalization,,
27,27,16,,,0.7270858916013596,0.2729141083986404,freq_Shopping,freq_Medical,freq_Unknown,dur_Personalization,freq_calls,freq_Shopping,freq_Medical,,
28,28,128,,,0.6393045198406851,0.36069548015931474,dur_Shopping,freq_Shopping,freq_Medical,dur_Personalization,dur_Comics,dur_Shopping,freq_Shopping,,
29,29,10,,,0.7338743656821087,0.2661256343178913,dur_Shopping,freq_Shopping,freq_Medical,dur_calls,dur_Personalization,dur_Shopping,freq_Shopping,,
30,30,2,,,0.9692056430245188,0.030794356975481243,dur_Shopping,freq_calls,freq_Shopping,freq_Medical,dur_Personalization,dur_Shopping,freq_calls,,
31,31,51,,,0.9668979291597956,0.0331020708402043,freq_Medical,dur_Personalization,freq_Business,freq_News...Magazines,freq_Shopping,freq_Medical,dur_Personalization,,
