,index,instance,trait,trait_predicted,low_prob,high_prob,most_contribute_1,most_contribute_2,most_contribute_3,most_contribute_4,most_contribute_5,most_contribute_to_low,most_contribute_to_high,Unnamed: 13,accuracy
0,0,26,,,0.40625,0.59375,dur_Shopping,freq_calls,dur_Productivity,freq_News...Magazines,dur_Medical,freq_calls,dur_Shopping,,
1,1,8,,,0.40625,0.59375,freq_calls,dur_Productivity,freq_Medical,dur_Lifestyle,freq_Sports,dur_Productivity,freq_calls,,
2,2,86,,,0.515625,0.484375,dur_Shopping,freq_calls,dur_Productivity,dur_calls,dur_Music...Audio,freq_calls,dur_Shopping,,
3,3,78,,,0.484375,0.515625,dur_Shopping,dur_Music...Audio,dur_Productivity,dur_Medical,freq_Medical,dur_Medical,dur_Shopping,,
4,4,43,,,0.453125,0.546875,freq_calls,dur_Shopping,dur_calls,dur_Productivity,dur_Music...Audio,freq_calls,dur_Productivity,,
5,5,85,,,0.515625,0.484375,dur_Shopping,dur_Productivity,dur_calls,freq_Music...Audio,dur_Medical,dur_Shopping,freq_Sports,,
6,6,22,,,0.625,0.375,freq_calls,dur_Shopping,freq_Medical,dur_Medical,freq_Sports,freq_calls,freq_Sports,,
7,7,50,,,0.578125,0.421875,dur_Shopping,freq_Music...Audio,dur_Communication,dur_Music...Audio,freq_Sports,dur_Shopping,dur_Music...Audio,,
8,8,45,,,0.484375,0.515625,freq_calls,dur_Shopping,freq_Music...Audio,dur_Productivity,dur_Music...Audio,dur_Shopping,freq_calls,,
9,9,24,,,0.640625,0.359375,freq_calls,dur_Shopping,dur_calls,dur_Music...Audio,freq_Medical,freq_calls,dur_Music...Audio,,
10,10,59,,,0.3125,0.6875,freq_calls,dur_Shopping,dur_Productivity,freq_Sports,freq_Medical,dur_Shopping,freq_calls,,
11,11,113,,,0.53125,0.46875,freq_calls,dur_Shopping,dur_Communication,dur_Productivity,freq_Medical,freq_calls,dur_Productivity,,
12,12,54,,,0.671875,0.328125,freq_calls,dur_Shopping,freq_Music...Audio,dur_Medical,freq_Sports,freq_calls,freq_Sports,,
13,13,27,,,0.375,0.625,dur_Shopping,dur_calls,freq_News...Magazines,freq_Medical,freq_calls,dur_Shopping,freq_News...Magazines,,
14,14,62,,,0.515625,0.484375,freq_calls,dur_Shopping,dur_Productivity,freq_Music...Audio,freq_Sports,dur_Shopping,freq_calls,,
15,15,115,,,0.40625,0.59375,dur_Shopping,dur_calls,freq_Music...Audio,dur_Productivity,freq_Medical,dur_Shopping,dur_Productivity,,
16,16,114,,,0.546875,0.453125,dur_Shopping,dur_calls,dur_Communication,dur_Productivity,freq_Sports,dur_Shopping,dur_Productivity,,
17,17,122,,,0.515625,0.484375,freq_calls,dur_Shopping,dur_Communication,dur_Productivity,freq_Sports,freq_calls,dur_Productivity,,
18,18,104,,,0.640625,0.359375,freq_Music...Audio,dur_Music...Audio,freq_Medical,dur_Shopping,dur_News...Magazines,freq_Music...Audio,dur_Music...Audio,,
19,19,84,,,0.671875,0.328125,freq_calls,dur_Shopping,freq_Music...Audio,dur_Communication,freq_Medical,freq_calls,dur_Social,,
20,20,60,,,0.359375,0.640625,dur_Shopping,dur_News...Magazines,dur_Productivity,freq_Medical,freq_calls,dur_Shopping,dur_News...Magazines,,
21,21,18,,,0.5625,0.4375,dur_calls,dur_Productivity,freq_Medical,dur_Medical,dur_Shopping,dur_calls,dur_Productivity,,
22,22,92,,,0.53125,0.46875,dur_Shopping,freq_Medical,dur_News...Magazines,freq_Sports,dur_Medical,dur_Shopping,dur_News...Magazines,,
23,23,33,,,0.578125,0.421875,dur_Shopping,dur_Productivity,dur_Medical,freq_Sports,freq_Business,dur_Shopping,dur_Productivity,,
24,24,94,,,0.671875,0.328125,freq_calls,dur_Shopping,dur_Productivity,freq_Medical,freq_Sports,freq_calls,dur_Communication,,
25,25,48,,,0.625,0.375,freq_calls,dur_Lifestyle,freq_Medical,freq_Sports,dur_Shopping,freq_calls,dur_Lifestyle,,
26,26,7,,,0.390625,0.609375,freq_calls,dur_Shopping,dur_Productivity,freq_Sports,freq_Medical,freq_calls,freq_Sports,,
27,27,16,,,0.515625,0.484375,freq_calls,dur_Productivity,dur_Communication,freq_Medical,dur_Lifestyle,freq_calls,freq_Medical,,
28,28,128,,,0.4375,0.5625,dur_Shopping,dur_Communication,freq_Music...Audio,dur_Productivity,freq_Medical,dur_Shopping,dur_Productivity,,
29,29,10,,,0.59375,0.40625,dur_Shopping,dur_Productivity,dur_calls,freq_calls,dur_Medical,dur_Shopping,freq_calls,,
30,30,2,,,0.53125,0.46875,freq_calls,dur_Shopping,freq_Music...Audio,dur_Medical,freq_Medical,dur_Shopping,freq_calls,,
31,31,51,,,0.453125,0.546875,dur_Productivity,freq_Music...Audio,freq_calls,freq_Sports,dur_Shopping,freq_Music...Audio,dur_Productivity,,
32,32,101,,,0.515625,0.484375,dur_Shopping,dur_Productivity,dur_News...Magazines,dur_Medical,freq_Medical,dur_Shopping,dur_Productivity,,
33,33,116,,,0.34375,0.65625,freq_calls,dur_Shopping,dur_Productivity,dur_Medical,dur_Music...Audio,dur_Shopping,freq_calls,,
34,34,30,,,0.53125,0.46875,dur_Shopping,dur_Productivity,freq_Medical,freq_Business,dur_Medical,dur_Shopping,dur_Productivity,,
