,index,instance,trait,trait_predicted,low_prob,high_prob,most_contribute_1,most_contribute_2,most_contribute_3,most_contribute_4,most_contribute_5,most_contribute_to_low,most_contribute_to_high,Unnamed: 13,accuracy
0,0,26,,,0.5,0.5,freq_Social,freq_Communication,freq_Unknown,freq_Shopping,dur_Shopping,freq_Communication,freq_Social,,
1,1,8,,,0.472010207,0.527989793,freq_Unknown,freq_Social,freq_Communication,freq_calls,freq_Business,freq_Communication,freq_Unknown,,
2,2,86,,,0.483446608,0.516553392,freq_Unknown,dur_Shopping,freq_Music...Audio,freq_Shopping,freq_calls,freq_Shopping,freq_Unknown,,
3,3,78,,,0.4837831,0.5162169,freq_Social,freq_Unknown,dur_Shopping,dur_Comics,freq_Communication,freq_Unknown,freq_Social,,
4,4,43,,,0.483320168,0.516679832,freq_Social,freq_Unknown,freq_calls,freq_Browser,freq_News...Magazines,freq_Social,freq_Communication,,
5,5,85,,,0.483828329,0.516171671,freq_Unknown,freq_Social,freq_Communication,freq_News...Magazines,dur_Shopping,freq_Unknown,freq_Communication,,
6,6,22,,,0.482466067,0.517533933,freq_Unknown,dur_Shopping,freq_calls,dur_Games,dur_Health...Fitness,freq_Unknown,dur_Health...Fitness,,
7,7,50,,,0.48380487,0.51619513,freq_Social,freq_Unknown,freq_Communication,dur_Shopping,dur_Health...Fitness,freq_Social,freq_Communication,,
8,8,45,,,0.48627359,0.51372641,freq_Unknown,freq_Communication,freq_Social,freq_calls,dur_Games,freq_Communication,freq_Unknown,,
9,9,24,,,0.483636357,0.516363643,freq_Social,freq_Unknown,dur_Health...Fitness,freq_calls,freq_Communication,freq_Social,dur_Health...Fitness,,
10,10,59,,,0.479030094,0.520969906,freq_Unknown,freq_Social,freq_Communication,freq_calls,dur_Shopping,freq_Unknown,freq_Communication,,
11,11,113,,,0.483583911,0.516416089,freq_Social,freq_Unknown,dur_Comics,dur_Health...Fitness,dur_Shopping,freq_Social,dur_Entertainment,,
12,12,54,,,0.48364096,0.51635904,freq_Unknown,dur_Shopping,dur_Books...Reference,freq_Games,dur_Health...Fitness,freq_Unknown,freq_Games,,
13,13,27,,,0.483092189,0.516907811,freq_Social,freq_Unknown,dur_Shopping,freq_Communication,dur_Health...Fitness,freq_Social,freq_Communication,,
14,14,62,,,0.479972571,0.520027429,freq_Social,freq_Unknown,dur_Shopping,freq_calls,dur_Health...Fitness,freq_Social,freq_calls,,
15,15,115,,,0.483535101,0.516464899,freq_Unknown,freq_Social,dur_Health...Fitness,dur_Shopping,dur_Games,freq_Unknown,freq_Tools,,
16,16,114,,,0.483504611,0.516495389,freq_Unknown,freq_Social,dur_Games,freq_Communication,dur_Health...Fitness,freq_Unknown,freq_Communication,,
17,17,122,,,0.481211979,0.518788021,freq_Unknown,freq_Social,freq_Communication,freq_Music...Audio,freq_calls,freq_Social,freq_Unknown,,
18,18,104,,,0.483219674,0.516780326,freq_Unknown,freq_Shopping,dur_Health...Fitness,freq_Games,freq_Browser,freq_Unknown,freq_Games,,
19,19,84,,,0.484385454,0.515614546,freq_Unknown,freq_Social,dur_Health...Fitness,dur_Shopping,dur_Games,freq_Unknown,freq_Shopping,,
20,20,60,,,0.481933959,0.518066041,freq_Communication,freq_Social,freq_Unknown,dur_Shopping,dur_Health...Fitness,freq_Communication,freq_Browser,,
21,21,18,,,0.483483334,0.516516666,freq_Social,freq_Unknown,dur_Health...Fitness,dur_Comics,freq_Games,freq_Unknown,freq_Social,,
22,22,92,,,0.483814126,0.516185874,freq_Social,freq_Unknown,dur_Shopping,freq_News...Magazines,freq_calls,freq_Unknown,freq_Social,,
23,23,33,,,0.486835539,0.513164461,freq_Unknown,freq_Communication,freq_Business,freq_Books...Reference,dur_News...Magazines,freq_Communication,freq_Unknown,,
24,24,94,,,0.470210657,0.529789343,freq_Unknown,freq_Social,freq_Music...Audio,dur_Shopping,dur_Health...Fitness,dur_Shopping,freq_Unknown,,
25,25,48,,,0.490012846,0.509987154,freq_Unknown,freq_Social,freq_Communication,freq_Music...Audio,freq_Tools,freq_Communication,freq_Unknown,,
26,26,7,,,0.483259057,0.516740943,freq_Unknown,freq_Social,dur_Shopping,freq_calls,freq_Games,freq_Unknown,dur_Games,,
27,27,16,,,0.484278113,0.515721887,freq_Unknown,freq_Social,freq_Shopping,freq_Communication,freq_News...Magazines,freq_Shopping,freq_Unknown,,
28,28,128,,,0.483481316,0.516518684,freq_Social,freq_Unknown,freq_Communication,dur_Shopping,freq_Shopping,freq_Social,freq_Communication,,
29,29,10,,,0.482465213,0.517534787,freq_Unknown,freq_Social,freq_Communication,dur_Health...Fitness,dur_Shopping,freq_Unknown,freq_Communication,,
30,30,2,,,0.483665198,0.516334802,freq_Social,freq_Unknown,freq_calls,freq_News...Magazines,dur_Shopping,freq_Social,freq_calls,,
31,31,51,,,0.48756764,0.51243236,freq_Social,freq_Communication,freq_Unknown,freq_News...Magazines,dur_Health...Fitness,freq_Communication,freq_Social,,
32,32,101,,,0.484095254,0.515904746,freq_Unknown,freq_Social,dur_Shopping,freq_Communication,freq_Books...Reference,freq_Social,freq_Unknown,,
33,33,116,,,0.480580301,0.519419699,freq_Social,freq_Communication,freq_Unknown,freq_calls,freq_Music...Audio,freq_Communication,freq_Social,,
34,34,30,,,0.483494234,0.516505766,freq_Social,freq_Unknown,freq_Shopping,dur_Health...Fitness,freq_Communication,freq_Social,dur_Health...Fitness,,
