,index,instance,trait,trait_predicted,low_prob,high_prob,most_contribute_1,most_contribute_2,most_contribute_3,most_contribute_4,most_contribute_5,most_contribute_to_low,most_contribute_to_high,Unnamed: 13,accuracy
0,0,26,,,1.0,0.0,freq_Communication,freq_Social,freq_Comics,freq_calls,freq_Games,freq_Communication,freq_Games,,
1,1,8,,,0.6666666666666666,0.3333333333333333,freq_Communication,freq_Social,freq_Unknown,freq_calls,freq_Browser,freq_Communication,freq_Unknown,,
2,2,86,,,0.3333333333333333,0.6666666666666666,freq_Communication,freq_Browser,freq_Unknown,freq_Sports,dur_Games,freq_calls,freq_Communication,,
3,3,78,,,0.6666666666666666,0.3333333333333333,freq_Social,freq_Communication,dur_Games,freq_Productivity,freq_Lifestyle,freq_Social,freq_Communication,,
4,4,43,,,0.3333333333333333,0.6666666666666666,freq_Communication,freq_Social,freq_Browser,freq_Unknown,freq_Sports,freq_Browser,freq_Communication,,
5,5,85,,,0.6666666666666666,0.3333333333333333,freq_Social,dur_calls,dur_Games,freq_Unknown,freq_Browser,dur_calls,freq_Social,,
6,6,22,,,0.6666666666666666,0.3333333333333333,freq_Communication,dur_Games,dur_Comics,freq_calls,freq_Comics,dur_Games,freq_Communication,,
7,7,50,,,0.0,1.0,freq_Communication,freq_Social,dur_Games,freq_Browser,freq_calls,freq_Browser,freq_Communication,,
8,8,45,,,0.3333333333333333,0.6666666666666666,freq_Communication,dur_Games,freq_Social,freq_Unknown,freq_calls,freq_Communication,freq_Social,,
9,9,24,,,0.3333333333333333,0.6666666666666666,freq_Communication,freq_Social,dur_calls,freq_Browser,freq_Sports,dur_calls,freq_Communication,,
10,10,59,,,0.3333333333333333,0.6666666666666666,freq_Social,freq_Browser,freq_calls,dur_Games,freq_Sports,freq_Browser,freq_Social,,
11,11,113,,,0.6666666666666666,0.3333333333333333,freq_Social,freq_Communication,dur_Comics,freq_Unknown,freq_Sports,dur_Comics,freq_Social,,
12,12,54,,,0.6666666666666666,0.3333333333333333,freq_Communication,freq_Comics,freq_calls,dur_Games,freq_Finance,freq_Comics,freq_Communication,,
13,13,27,,,0.0,1.0,freq_Communication,freq_Social,dur_Games,freq_Browser,dur_calls,freq_Browser,freq_Communication,,
14,14,62,,,0.0,1.0,freq_Communication,freq_Social,freq_calls,dur_Games,freq_Tools,freq_Tools,freq_Communication,,
15,15,115,,,0.6666666666666666,0.3333333333333333,dur_Games,freq_Communication,freq_Social,freq_Tools,dur_Comics,dur_Games,freq_Communication,,
16,16,114,,,1.0,0.0,dur_Games,dur_Comics,freq_Social,dur_calls,freq_Medical,dur_Games,dur_Comics,,
17,17,122,,,0.3333333333333333,0.6666666666666666,freq_Communication,freq_Unknown,freq_Social,freq_Sports,dur_Games,dur_Personalization,freq_Communication,,
18,18,104,,,0.3333333333333333,0.6666666666666666,freq_Communication,freq_Unknown,freq_Sports,freq_Games,freq_Browser,freq_Unknown,freq_Communication,,
19,19,84,,,0.3333333333333333,0.6666666666666666,dur_Games,freq_Communication,freq_Social,freq_Games,freq_Browser,dur_Games,freq_Communication,,
20,20,60,,,0.6666666666666666,0.3333333333333333,freq_Communication,freq_Social,freq_Browser,freq_Sports,dur_Games,freq_Communication,freq_Social,,
21,21,18,,,0.3333333333333333,0.6666666666666666,freq_Social,freq_Communication,Education_lev,freq_Games,dur_Games,freq_Social,freq_Communication,,
22,22,92,,,0.3333333333333333,0.6666666666666666,freq_Social,freq_Communication,freq_calls,freq_Sports,freq_Weather,freq_Social,freq_Communication,,
23,23,33,,,0.6666666666666666,0.3333333333333333,freq_Communication,freq_Unknown,freq_Tools,freq_Sports,freq_Browser,freq_Communication,freq_Unknown,,
24,24,94,,,0.6666666666666666,0.3333333333333333,freq_Social,freq_Communication,freq_Unknown,freq_calls,freq_Medical,freq_Social,freq_Communication,,
25,25,48,,,1.0,0.0,freq_Communication,freq_Social,freq_Unknown,dur_Games,dur_Comics,freq_Communication,freq_Unknown,,
26,26,7,,,0.3333333333333333,0.6666666666666666,freq_Communication,freq_Social,dur_Games,freq_Sports,dur_Comics,dur_Comics,freq_Communication,,
27,27,16,,,0.6666666666666666,0.3333333333333333,freq_Social,freq_Communication,freq_Unknown,freq_calls,dur_Games,freq_Social,freq_Communication,,
28,28,128,,,0.3333333333333333,0.6666666666666666,freq_Communication,freq_Social,dur_Games,dur_Comics,freq_Browser,dur_Comics,freq_Communication,,
29,29,10,,,0.0,1.0,freq_Social,dur_calls,dur_Games,freq_Sports,freq_Comics,dur_calls,freq_Social,,
30,30,2,,,0.3333333333333333,0.6666666666666666,dur_Games,freq_Communication,freq_Social,freq_calls,freq_Comics,dur_Games,freq_Communication,,
31,31,51,,,0.6666666666666666,0.3333333333333333,freq_Communication,freq_Social,dur_Games,freq_Sports,freq_Tools,freq_Communication,dur_Games,,
32,32,101,,,0.0,1.0,freq_Communication,freq_Social,freq_Unknown,freq_Tools,freq_Sports,freq_Health...Fitness,freq_Communication,,
33,33,116,,,0.6666666666666666,0.3333333333333333,freq_Communication,freq_Social,freq_calls,freq_Tools,freq_Music...Audio,freq_Communication,freq_calls,,
34,34,30,,,0.3333333333333333,0.6666666666666666,freq_Social,freq_Unknown,freq_Comics,dur_Music...Audio,freq_calls,freq_Unknown,freq_Social,,
