,index,instance,trait,trait_predicted,low_prob,high_prob,most_contribute_1,most_contribute_2,most_contribute_3,most_contribute_4,most_contribute_5,most_contribute_to_low,most_contribute_to_high,Unnamed: 13,accuracy
0,0,26,,,0.00851594928118582,0.9914840507188142,freq_Comics,Gender,dur_Comics,freq_Books...Reference,dur_Shopping,Gender,freq_Comics,,
1,1,8,,,0.1919180560800927,0.8080819439199073,freq_Comics,freq_calls,dur_Comics,Gender,dur_Lifestyle,dur_Comics,freq_Comics,,
2,2,86,,,0.3453068591814098,0.6546931408185902,freq_Comics,freq_Travel...Local,dur_Comics,Gender,freq_Books...Reference,freq_Comics,dur_Comics,,
3,3,78,,,0.004450603965804767,0.9955493960341952,freq_Comics,dur_Comics,Gender,freq_Books...Reference,fluidIQ,dur_Comics,freq_Comics,,
4,4,43,,,0.9999998252178636,1.7478213644226555e-07,freq_Comics,dur_Comics,Gender,dur_Personalization,dur_Travel...Local,dur_Comics,freq_Comics,,
5,5,85,,,0.9793091338811641,0.020690866118835808,freq_Comics,dur_Comics,Gender,fluidIQ,freq_Travel...Local,dur_Comics,freq_Comics,,
6,6,22,,,0.07055370989385279,0.9294462901061472,freq_Comics,Gender,dur_Comics,freq_Travel...Local,dur_Games,dur_Comics,freq_Comics,,
7,7,50,,,0.004162646229208922,0.9958373537707911,freq_Comics,Gender,dur_Comics,fluidIQ,freq_Weather,dur_Comics,freq_Comics,,
8,8,45,,,0.9999999990168618,9.83138292861216e-10,freq_Comics,freq_calls,dur_Comics,dur_Games,Gender,dur_Comics,freq_Comics,,
9,9,24,,,0.29162156634382297,0.708378433656177,freq_Comics,dur_Comics,Gender,freq_Travel...Local,dur_Travel...Local,dur_Comics,freq_Comics,,
10,10,59,,,0.024023673470707996,0.975976326529292,freq_Comics,freq_calls,freq_Travel...Local,Gender,dur_Comics,Gender,freq_Comics,,
11,11,113,,,0.8946412332141389,0.10535876678586106,freq_Comics,dur_Comics,Gender,dur_Personalization,fluidIQ,dur_Comics,freq_Comics,,
12,12,54,,,0.0010349029184617553,0.9989650970815382,freq_Comics,Gender,freq_Books...Reference,freq_Media...Video,dur_Personalization,freq_Media...Video,freq_Comics,,
13,13,27,,,0.00273068579332969,0.9972693142066703,freq_Comics,Gender,freq_Travel...Local,dur_Comics,dur_Personalization,dur_Comics,freq_Comics,,
14,14,62,,,0.04716369158212874,0.9528363084178713,freq_Comics,freq_calls,dur_Comics,Gender,freq_Travel...Local,dur_Comics,freq_Comics,,
15,15,115,,,0.9999999989423741,1.0576258690248796e-09,freq_Comics,dur_Comics,dur_Games,Gender,freq_Travel...Local,freq_Comics,dur_Comics,,
