,index,instance,trait,trait_predicted,low_prob,high_prob,most_contribute_1,most_contribute_2,most_contribute_3,most_contribute_4,most_contribute_5,most_contribute_to_low,most_contribute_to_high,Unnamed: 13,accuracy
0,0,26,,,0.3234595327790507,0.6765404672209493,dur_Comics,freq_Communication,freq_Social,freq_Books...Reference,freq_Productivity,freq_Communication,dur_Comics,,
1,1,8,,,0.999287514627815,0.000712485372185121,freq_Entertainment,dur_Comics,freq_Social,freq_Communication,freq_calls,freq_Social,freq_Entertainment,,
2,2,86,,,0.9999999999998375,1.6250014369107496e-13,freq_Travel...Local,freq_Entertainment,dur_Comics,freq_Books...Reference,freq_Media...Video,freq_Travel...Local,freq_Entertainment,,
3,3,78,,,0.09789165378546082,0.9021083462145393,freq_Social,dur_Comics,freq_Productivity,freq_Books...Reference,freq_Communication,freq_Social,dur_Comics,,
4,4,43,,,0.9980721406316077,0.0019278593683924154,dur_Comics,freq_Communication,freq_Sports,freq_Medical,freq_Entertainment,freq_Medical,dur_Comics,,
5,5,85,,,0.9937437070122737,0.006256292987726284,dur_Comics,freq_Travel...Local,freq_Sports,dur_Shopping,freq_Education,freq_Education,dur_Comics,,
6,6,22,,,0.08494792714950967,0.9150520728504904,dur_Comics,freq_Travel...Local,dur_Games,freq_Communication,freq_Entertainment,dur_Games,dur_Comics,,
7,7,50,,,0.005888839204520542,0.9941111607954795,dur_Comics,freq_Weather,freq_Communication,freq_Sports,freq_Education,freq_Weather,dur_Comics,,
8,8,45,,,0.9998437738410885,0.00015622615891148478,freq_Communication,freq_calls,dur_Comics,freq_Books...Reference,dur_Games,freq_Communication,freq_calls,,
9,9,24,,,0.08943642963443098,0.910563570365569,dur_Comics,freq_Travel...Local,freq_Communication,freq_Entertainment,freq_Sports,freq_Entertainment,dur_Comics,,
10,10,59,,,0.012887660388799979,0.9871123396111999,dur_Comics,freq_calls,freq_Travel...Local,freq_Sports,freq_Entertainment,freq_Entertainment,dur_Comics,,
11,11,113,,,0.5320913005762766,0.4679086994237234,dur_Comics,freq_Communication,freq_Sports,freq_Entertainment,freq_calls,freq_Entertainment,dur_Comics,,
12,12,54,,,0.04250576373690383,0.9574942362630962,dur_Comics,freq_Media...Video,freq_Books...Reference,freq_Communication,freq_Sports,freq_Media...Video,dur_Comics,,
13,13,27,,,0.05327263939480273,0.9467273606051972,dur_Comics,freq_Communication,freq_Travel...Local,freq_Sports,dur_Sports,freq_Entertainment,dur_Comics,,
14,14,62,,,0.07527364373525544,0.9247263562647444,dur_Comics,freq_calls,freq_Weather,freq_Communication,freq_Productivity,freq_Weather,dur_Comics,,
15,15,115,,,0.9976484699566824,0.002351530043317446,dur_Comics,freq_Entertainment,freq_Books...Reference,freq_Media...Video,freq_Productivity,dur_Comics,freq_Entertainment,,
16,16,114,,,0.9433654733059917,0.056634526694008355,dur_Comics,dur_Games,dur_Sports,freq_Sports,freq_Medical,dur_Games,dur_Comics,,
17,17,122,,,0.049595375637845905,0.9504046243621541,dur_Comics,freq_Books...Reference,freq_Weather,freq_Travel...Local,freq_Sports,freq_Weather,dur_Comics,,
