,index,instance,trait,trait_predicted,low_prob,high_prob,most_contribute_1,most_contribute_2,most_contribute_3,most_contribute_4,most_contribute_5,most_contribute_to_low,most_contribute_to_high,Unnamed: 13,accuracy
0,0,26,,,0.625,0.375,dur_Sports,freq_Social,freq_calls,freq_Sports,dur_Lifestyle,freq_Social,dur_Sports,,
1,1,8,,,0.484375,0.515625,dur_Lifestyle,freq_calls,dur_Sports,freq_Social,freq_Entertainment,freq_Social,dur_Lifestyle,,
2,2,86,,,0.546875,0.453125,dur_calls,freq_Entertainment,dur_Sports,freq_Media...Video,dur_Lifestyle,dur_calls,freq_Entertainment,,
3,3,78,,,0.4375,0.5625,dur_Games,dur_Sports,dur_Health...Fitness,dur_Photography,freq_Social,freq_Social,dur_Games,,
4,4,43,,,0.484375,0.515625,dur_Photography,dur_Unknown,dur_Sports,dur_calls,freq_calls,dur_Photography,dur_Unknown,,
5,5,85,,,0.5,0.5,dur_Games,dur_calls,dur_Sports,dur_Photography,dur_Health...Fitness,dur_calls,dur_Games,,
6,6,22,,,0.46875,0.53125,dur_Games,dur_Sports,freq_calls,dur_Health...Fitness,freq_Sports,dur_Games,dur_Sports,,
7,7,50,,,0.484375,0.515625,dur_Games,freq_Weather,dur_Sports,freq_Sports,dur_Lifestyle,freq_Weather,dur_Games,,
8,8,45,,,0.59375,0.40625,freq_Weather,dur_Games,dur_Sports,freq_calls,dur_Unknown,freq_Weather,dur_Sports,,
9,9,24,,,0.515625,0.484375,dur_Sports,dur_calls,freq_calls,dur_Health...Fitness,dur_Photography,dur_Sports,dur_Health...Fitness,,
10,10,59,,,0.515625,0.484375,dur_Games,dur_Unknown,dur_Sports,freq_calls,dur_Lifestyle,dur_Lifestyle,dur_Games,,
11,11,113,,,0.640625,0.359375,dur_Photography,dur_Sports,freq_calls,freq_Sports,dur_Lifestyle,dur_Photography,dur_Sports,,
12,12,54,,,0.65625,0.34375,dur_Photography,dur_Sports,freq_Sports,freq_calls,freq_Media...Video,dur_Photography,dur_Sports,,
13,13,27,,,0.421875,0.578125,dur_Games,dur_Sports,dur_Unknown,dur_calls,freq_Social,dur_calls,dur_Games,,
14,14,62,,,0.5,0.5,dur_Games,freq_Weather,dur_Unknown,freq_calls,dur_Sports,freq_Weather,dur_Games,,
15,15,115,,,0.4375,0.5625,dur_Games,dur_calls,dur_Unknown,dur_Sports,freq_Entertainment,dur_Games,dur_Unknown,,
16,16,114,,,0.578125,0.421875,dur_Photography,dur_Games,dur_Sports,dur_calls,freq_Sports,dur_Photography,dur_Sports,,
17,17,122,,,0.421875,0.578125,dur_Games,freq_Weather,dur_Sports,freq_calls,freq_Sports,freq_Weather,dur_Games,,
18,18,104,,,0.421875,0.578125,dur_Photography,dur_Unknown,dur_Sports,dur_Browser,freq_Sports,dur_Photography,dur_Unknown,,
19,19,84,,,0.671875,0.328125,dur_Games,dur_Unknown,dur_Sports,freq_Sports,freq_calls,dur_Games,dur_Unknown,,
20,20,60,,,0.453125,0.546875,dur_Sports,freq_Social,freq_Sports,freq_Weather,dur_Lifestyle,dur_Lifestyle,dur_Sports,,
21,21,18,,,0.546875,0.453125,dur_calls,dur_Sports,freq_Social,dur_Browser,freq_Sports,dur_calls,dur_Sports,,
22,22,92,,,0.59375,0.40625,freq_Weather,dur_Sports,freq_Social,freq_Sports,dur_Lifestyle,freq_Weather,dur_Sports,,
23,23,33,,,0.5625,0.4375,dur_Sports,freq_Entertainment,freq_Media...Video,freq_Sports,dur_Lifestyle,freq_Media...Video,dur_Sports,,
24,24,94,,,0.578125,0.421875,dur_Sports,dur_Health...Fitness,freq_Health...Fitness,dur_Photography,freq_calls,dur_Sports,dur_Health...Fitness,,
25,25,48,,,0.484375,0.515625,dur_Lifestyle,dur_Games,freq_Weather,dur_Sports,freq_Entertainment,freq_Weather,dur_Lifestyle,,
26,26,7,,,0.484375,0.515625,dur_Games,dur_Sports,freq_calls,freq_Social,freq_Weather,freq_calls,dur_Games,,
27,27,16,,,0.59375,0.40625,dur_Lifestyle,dur_Sports,freq_calls,freq_Social,freq_Sports,dur_Sports,dur_Lifestyle,,
28,28,128,,,0.46875,0.53125,dur_Games,dur_Photography,dur_Unknown,dur_Sports,freq_Sports,dur_Photography,dur_Games,,
29,29,10,,,0.4375,0.5625,dur_Lifestyle,dur_calls,dur_Sports,freq_Sports,dur_Unknown,dur_calls,dur_Lifestyle,,
30,30,2,,,0.65625,0.34375,dur_Photography,dur_Unknown,dur_Games,dur_Sports,freq_calls,dur_Photography,dur_Unknown,,
31,31,51,,,0.609375,0.390625,dur_Games,freq_Weather,dur_Sports,freq_Social,freq_Media...Video,freq_Weather,dur_Games,,
32,32,101,,,0.421875,0.578125,dur_Sports,freq_Entertainment,freq_Sports,freq_Health...Fitness,dur_Browser,freq_Health...Fitness,dur_Sports,,
33,33,116,,,0.484375,0.515625,freq_Weather,dur_Sports,freq_calls,freq_Social,freq_Entertainment,freq_Weather,dur_Sports,,
34,34,30,,,0.5625,0.4375,dur_Sports,dur_Health...Fitness,dur_Photography,freq_Lifestyle,freq_Media...Video,dur_Sports,dur_Health...Fitness,,
