,index,instance,trait,trait_predicted,low_prob,high_prob,most_contribute_1,most_contribute_2,most_contribute_3,most_contribute_4,most_contribute_5,most_contribute_to_low,most_contribute_to_high,Unnamed: 13,accuracy
0,0,26,,,0.6581365356223462,0.3418634643776537,freq_Games,freq_Sports,freq_Communication,freq_Social,freq_Books...Reference,freq_Communication,freq_Games,,
1,1,8,,,0.5458125049083403,0.4541874950916597,freq_Unknown,freq_Communication,freq_Games,freq_Sports,freq_Tools,freq_Communication,freq_Unknown,,
2,2,86,,,0.4594677506642325,0.5405322493357675,freq_Unknown,freq_Games,freq_Sports,freq_Productivity,freq_Tools,freq_Tools,freq_Unknown,,
3,3,78,,,0.5,0.5,freq_Sports,freq_Productivity,freq_Social,freq_Unknown,freq_News...Magazines,freq_Social,freq_Sports,,
4,4,43,,,0.5,0.5,freq_News...Magazines,freq_Sports,freq_Unknown,freq_Weather,freq_Social,freq_News...Magazines,freq_Sports,,
5,5,85,,,0.5,0.5,freq_News...Magazines,freq_Sports,freq_Unknown,dur_calls,freq_Weather,freq_News...Magazines,freq_Sports,,
6,6,22,,,0.5055331924624757,0.4944668075375242,freq_Sports,freq_News...Magazines,dur_Games,freq_calls,freq_Games,dur_Games,freq_Sports,,
7,7,50,,,0.494048565353478,0.505951434646522,freq_Sports,freq_Weather,freq_Unknown,freq_News...Magazines,freq_Games,freq_Sports,freq_News...Magazines,,
8,8,45,,,0.6060418193108194,0.39395818068918054,freq_Unknown,freq_News...Magazines,freq_Sports,freq_Games,freq_Communication,freq_News...Magazines,freq_Unknown,,
9,9,24,,,0.5,0.5,freq_Games,freq_Sports,dur_calls,freq_Unknown,freq_calls,freq_Sports,freq_Games,,
10,10,59,,,0.4938166856744038,0.5061833143255963,freq_Sports,freq_calls,freq_Unknown,freq_Games,freq_News...Magazines,freq_Unknown,freq_Sports,,
11,11,113,,,0.5073460474535423,0.49265395254645766,freq_Sports,freq_Unknown,dur_Comics,freq_calls,dur_Education,freq_Unknown,freq_Sports,,
12,12,54,,,0.4941075539155153,0.5058924460844848,freq_Sports,freq_Games,freq_News...Magazines,freq_Communication,freq_Books...Reference,freq_Unknown,freq_Sports,,
13,13,27,,,0.49193405771145204,0.5080659422885481,freq_Sports,freq_Unknown,freq_Social,freq_News...Magazines,freq_Comics,freq_Unknown,freq_Sports,,
14,14,62,,,0.5096329416874819,0.4903670583125182,freq_Sports,freq_Unknown,freq_Productivity,freq_Weather,freq_Social,freq_Unknown,freq_Sports,,
15,15,115,,,0.5134477626103564,0.4865522373896437,freq_Sports,freq_Productivity,dur_Games,freq_Tools,freq_Books...Reference,dur_Games,freq_Sports,,
16,16,114,,,0.5,0.5,freq_Sports,freq_Unknown,dur_Games,dur_calls,freq_News...Magazines,freq_Unknown,freq_Sports,,
17,17,122,,,0.4879890617762741,0.5120109382237259,freq_Unknown,freq_Weather,freq_Sports,freq_Books...Reference,freq_News...Magazines,freq_Weather,freq_Unknown,,
18,18,104,,,0.49404889166005433,0.5059511083399458,freq_Games,freq_Sports,freq_Unknown,freq_News...Magazines,dur_Comics,freq_Unknown,freq_Games,,
19,19,84,,,0.5464499388402463,0.45355006115975355,freq_Sports,freq_Games,freq_calls,dur_Games,freq_News...Magazines,freq_Sports,freq_Games,,
20,20,60,,,0.5328636814392914,0.4671363185607086,freq_Communication,freq_Sports,freq_Social,freq_Unknown,freq_News...Magazines,freq_Communication,freq_Sports,,
21,21,18,,,0.48187586746613353,0.5181241325338664,freq_Sports,freq_Games,Education_lev,freq_Unknown,freq_Social,Education_lev,freq_Sports,,
22,22,92,,,0.49399955992158673,0.5060004400784133,freq_News...Magazines,freq_Sports,freq_Productivity,freq_Weather,freq_Unknown,freq_News...Magazines,freq_Sports,,
23,23,33,,,0.6431481717727054,0.35685182822729455,freq_Unknown,freq_Sports,freq_Communication,freq_Tools,freq_Books...Reference,freq_Communication,freq_Unknown,,
24,24,94,,,0.5331231672109153,0.4668768327890847,freq_Unknown,freq_Sports,freq_News...Magazines,freq_Social,freq_calls,freq_Sports,freq_Unknown,,
25,25,48,,,0.4919431973059639,0.508056802694036,freq_Unknown,freq_Sports,freq_Communication,freq_Social,freq_Weather,freq_Communication,freq_Unknown,,
26,26,7,,,0.4948804795667532,0.5051195204332468,freq_Sports,freq_News...Magazines,freq_Weather,freq_Unknown,freq_calls,freq_Unknown,freq_Sports,,
