index,instance,trait,trait_real,trait_predicted,low_prob,high_prob,most_contribute,most_contribute_2,most_contribute_3,most_contribute_4,most_contribute_5,most_contribute_to_low,most_contribute_to_high,accuracy
0,82,Extraversion,1,0,1,0,freq_Social,freq_Communication,freq_Browser,freq_Unknown,freq_Games,freq_Social,freq_Games,0.6285714286
1,120,Extraversion,0,1,0.33333333,0.66666667,freq_Unknown,freq_Social,freq_Communication,freq_calls,freq_Browser,freq_Social,freq_Unknown,0.6285714286
2,52,Extraversion,0,0,0.66666667,0.33333333,freq_Communication,freq_Unknown,freq_Browser,freq_Tools,freq_Social,freq_Communication,freq_Unknown,0.6285714286
3,16,Extraversion,1,0,1,0,freq_Communication,freq_Social,freq_Unknown,freq_calls,freq_Browser,freq_Communication,freq_Browser,0.6285714286
4,72,Extraversion,1,0,0.66666667,0.33333333,freq_Communication,freq_Unknown,dur_calls,freq_calls,freq_Social,freq_Communication,freq_Social,0.6285714286
5,109,Extraversion,0,0,0.66666667,0.33333333,freq_Communication,freq_Unknown,freq_Social,dur_calls,freq_Games,freq_Unknown,freq_Communication,0.6285714286
6,17,Extraversion,1,1,0.33333333,0.66666667,freq_Communication,freq_Social,freq_Unknown,Education_lev,dur_Comics,freq_Communication,freq_Social,0.6285714286
7,118,Extraversion,1,0,1,0,freq_Communication,freq_Unknown,freq_Social,freq_calls,freq_Sports,freq_Communication,freq_Social,0.6285714286
8,105,Extraversion,1,1,0.33333333,0.66666667,freq_Unknown,freq_Communication,freq_calls,freq_Social,freq_Games,freq_Communication,freq_Unknown,0.6285714286
9,75,Extraversion,0,0,0.66666667,0.33333333,freq_Communication,freq_Unknown,freq_Games,freq_calls,freq_Sports,freq_Communication,freq_Games,0.6285714286
10,73,Extraversion,0,1,0,1,freq_Communication,freq_calls,freq_Unknown,freq_Social,freq_Photography,freq_Unknown,freq_Communication,0.6285714286
11,44,Extraversion,0,0,0.66666667,0.33333333,freq_Communication,freq_Unknown,freq_calls,freq_Social,freq_Weather,freq_Communication,freq_Social,0.6285714286
12,64,Extraversion,0,0,1,0,freq_Communication,freq_Unknown,freq_Social,dur_Comics,freq_Browser,freq_Communication,freq_Social,0.6285714286
13,26,Extraversion,1,1,0,1,freq_Communication,freq_Unknown,dur_calls,freq_Social,dur_Comics,freq_Communication,freq_Social,0.6285714286
14,122,Extraversion,1,1,0,1,freq_Communication,freq_calls,freq_Unknown,freq_Tools,freq_Social,freq_Communication,freq_calls,0.6285714286
15,61,Extraversion,0,1,0.33333333,0.66666667,freq_Communication,freq_Unknown,freq_Social,freq_Tools,dur_calls,freq_Communication,freq_Social,0.6285714286
16,124,Extraversion,0,0,0.66666667,0.33333333,freq_Communication,freq_Unknown,freq_Social,dur_calls,freq_Comics,freq_Unknown,freq_Communication,0.6285714286
17,97,Extraversion,1,1,0,1,freq_Unknown,freq_Communication,freq_Tools,freq_Social,freq_calls,freq_calls,freq_Unknown,0.6285714286
18,2,Extraversion,0,0,0.66666667,0.33333333,freq_Communication,freq_Unknown,freq_Social,freq_Games,freq_Tools,freq_Communication,freq_Social,0.6285714286
19,48,Extraversion,1,1,0.33333333,0.66666667,freq_Communication,freq_Unknown,freq_Social,freq_Browser,freq_calls,freq_Communication,freq_Social,0.6285714286
20,78,Extraversion,0,0,0.66666667,0.33333333,freq_Communication,freq_Unknown,freq_Browser,freq_Social,dur_Comics,freq_Communication,freq_Social,0.6285714286
21,51,Extraversion,0,0,1,0,freq_Communication,freq_Social,freq_Unknown,dur_calls,freq_Games,freq_Communication,freq_Games,0.6285714286
22,20,Extraversion,0,0,1,0,freq_Communication,freq_Social,freq_Unknown,freq_Browser,freq_Tools,freq_Communication,freq_Browser,0.6285714286
23,8,Extraversion,0,0,0.66666667,0.33333333,freq_Unknown,freq_Communication,freq_Browser,freq_Tools,freq_Social,freq_Communication,freq_Unknown,0.6285714286
24,90,Extraversion,0,1,0.33333333,0.66666667,freq_Communication,freq_Unknown,freq_Social,freq_Browser,freq_calls,freq_Communication,freq_Unknown,0.6285714286
25,67,Extraversion,1,1,0.33333333,0.66666667,freq_Unknown,freq_Social,freq_Communication,freq_Tools,freq_Browser,freq_Social,freq_Unknown,0.6285714286
26,77,Extraversion,1,1,0.33333333,0.66666667,freq_Communication,freq_Unknown,freq_Social,dur_Comics,freq_calls,freq_Communication,freq_Social,0.6285714286
