index,instance,trait,trait_real,trait_predicted,low_prob,high_prob,most_contribute,most_contribute_2,most_contribute_3,most_contribute_4,most_contribute_5,most_contribute_to_low,most_contribute_to_high,accuracy
0,82,Extraversion,1,0,0.96496897,0.03503103,freq_Shopping,dur_Shopping,freq_Medical,dur_Personalization,freq_calls,freq_Shopping,dur_Shopping,0.6285714286
1,120,Extraversion,0,0,0.59316864,0.40683136,freq_Shopping,freq_calls,freq_Unknown,dur_Personalization,freq_Medical,freq_Shopping,freq_calls,0.6285714286
2,52,Extraversion,0,1,4.08E-05,0.99995924,freq_Shopping,dur_Shopping,freq_Unknown,freq_Medical,dur_Personalization,freq_Shopping,dur_Shopping,0.6285714286
3,16,Extraversion,1,1,0.30157519,6.98E-01,dur_Shopping,freq_Medical,dur_Personalization,freq_Books...Reference,dur_Health...Fitness,freq_Medical,dur_Shopping,0.6285714286
4,72,Extraversion,1,0,0.61569572,0.38430428,dur_Shopping,freq_Medical,freq_Shopping,dur_Personalization,dur_calls,dur_Shopping,freq_Shopping,0.6285714286
5,109,Extraversion,0,1,0.22136075,0.77863925,dur_Shopping,freq_Medical,dur_Personalization,dur_calls,dur_Health...Fitness,dur_Shopping,dur_Personalization,0.6285714286
6,17,Extraversion,1,1,0.00099306,0.99900694,dur_Shopping,freq_Shopping,freq_Medical,dur_Personalization,freq_Business,dur_Shopping,freq_Shopping,0.6285714286
7,118,Extraversion,1,0,0.99999955,4.48E-07,dur_Shopping,freq_Shopping,freq_Medical,dur_Personalization,dur_Books...Reference,dur_Shopping,freq_Shopping,0.6285714286
8,105,Extraversion,1,0,0.99999246,7.54E-06,dur_Shopping,freq_calls,freq_Medical,freq_Unknown,dur_Personalization,dur_Shopping,freq_calls,0.6285714286
9,75,Extraversion,0,0,0.98993691,1.01E-02,dur_Shopping,freq_Shopping,dur_Personalization,freq_Medical,dur_calls,dur_Shopping,freq_Shopping,0.6285714286
10,73,Extraversion,0,1,0.01851358,0.98148642,dur_Shopping,freq_calls,freq_Medical,freq_Shopping,dur_Personalization,dur_Shopping,freq_calls,0.6285714286
11,44,Extraversion,0,0,0.53360743,0.46639257,dur_Shopping,freq_Shopping,freq_Medical,dur_Personalization,freq_Business,dur_Shopping,freq_Shopping,0.6285714286
12,64,Extraversion,0,0,0.99762166,0.00237834,dur_Shopping,freq_Shopping,freq_Medical,dur_Personalization,freq_calls,dur_Shopping,freq_Shopping,0.6285714286
13,26,Extraversion,1,1,0.47743579,0.52256421,dur_Shopping,freq_Shopping,dur_calls,freq_Medical,dur_Personalization,dur_Shopping,freq_Shopping,0.6285714286
14,122,Extraversion,1,1,0.02566501,0.97433499,dur_Shopping,freq_calls,freq_Shopping,freq_Medical,dur_Personalization,dur_Shopping,freq_calls,0.6285714286
