index,instance,trait,trait_real,trait_predicted,low_prob,high_prob,most_contribute,most_contribute_2,most_contribute_3,most_contribute_4,most_contribute_5,most_contribute_to_low,most_contribute_to_high,accuracy
0,82,Extraversion,1,1,0.40625,0.59375,dur_Shopping,freq_calls,dur_Productivity,freq_News...Magazines,dur_Medical,freq_calls,dur_Shopping,0.6285714286
1,120,Extraversion,0,1,0.40625,0.59375,freq_calls,dur_Productivity,freq_Medical,dur_Lifestyle,freq_Sports,dur_Productivity,freq_calls,0.6285714286
2,52,Extraversion,0,0,5.16E-01,0.484375,dur_Shopping,freq_calls,dur_Productivity,dur_calls,dur_Music...Audio,freq_calls,dur_Shopping,0.6285714286
3,16,Extraversion,1,1,0.484375,5.16E-01,dur_Shopping,dur_Music...Audio,dur_Productivity,dur_Medical,freq_Medical,dur_Medical,dur_Shopping,0.6285714286
4,72,Extraversion,1,1,0.453125,0.546875,freq_calls,dur_Shopping,dur_calls,dur_Productivity,dur_Music...Audio,freq_calls,dur_Productivity,0.6285714286
5,109,Extraversion,0,0,0.515625,0.484375,dur_Shopping,dur_Productivity,dur_calls,freq_Music...Audio,dur_Medical,dur_Shopping,freq_Sports,0.6285714286
6,17,Extraversion,1,0,0.625,0.375,freq_calls,dur_Shopping,freq_Medical,dur_Medical,freq_Sports,freq_calls,freq_Sports,0.6285714286
7,118,Extraversion,1,0,0.578125,4.22E-01,dur_Shopping,freq_Music...Audio,dur_Communication,dur_Music...Audio,freq_Sports,dur_Shopping,dur_Music...Audio,0.6285714286
8,105,Extraversion,1,1,0.484375,5.16E-01,freq_calls,dur_Shopping,freq_Music...Audio,dur_Productivity,dur_Music...Audio,dur_Shopping,freq_calls,0.6285714286
9,75,Extraversion,0,0,0.640625,3.59E-01,freq_calls,dur_Shopping,dur_calls,dur_Music...Audio,freq_Medical,freq_calls,dur_Music...Audio,0.6285714286
10,73,Extraversion,0,1,0.3125,0.6875,freq_calls,dur_Shopping,dur_Productivity,freq_Sports,freq_Medical,dur_Shopping,freq_calls,0.6285714286
11,44,Extraversion,0,0,0.53125,0.46875,freq_calls,dur_Shopping,dur_Communication,dur_Productivity,freq_Medical,freq_calls,dur_Productivity,0.6285714286
12,64,Extraversion,0,0,0.671875,0.328125,freq_calls,dur_Shopping,freq_Music...Audio,dur_Medical,freq_Sports,freq_calls,freq_Sports,0.6285714286
13,26,Extraversion,1,1,0.375,0.625,dur_Shopping,dur_calls,freq_News...Magazines,freq_Medical,freq_calls,dur_Shopping,freq_News...Magazines,0.6285714286
14,122,Extraversion,1,0,0.515625,0.484375,freq_calls,dur_Shopping,dur_Productivity,freq_Music...Audio,freq_Sports,dur_Shopping,freq_calls,0.6285714286
15,61,Extraversion,0,1,0.40625,5.94E-01,dur_Shopping,dur_calls,freq_Music...Audio,dur_Productivity,freq_Medical,dur_Shopping,dur_Productivity,0.6285714286
16,124,Extraversion,0,0,0.546875,0.453125,dur_Shopping,dur_calls,dur_Communication,dur_Productivity,freq_Sports,dur_Shopping,dur_Productivity,0.6285714286
17,97,Extraversion,1,0,0.515625,0.484375,freq_calls,dur_Shopping,dur_Communication,dur_Productivity,freq_Sports,freq_calls,dur_Productivity,0.6285714286
18,2,Extraversion,0,0,0.640625,0.359375,freq_Music...Audio,dur_Music...Audio,freq_Medical,dur_Shopping,dur_News...Magazines,freq_Music...Audio,dur_Music...Audio,0.6285714286
19,48,Extraversion,1,0,0.671875,3.28E-01,freq_calls,dur_Shopping,freq_Music...Audio,dur_Communication,freq_Medical,freq_calls,dur_Social,0.6285714286
20,78,Extraversion,0,1,3.59E-01,0.640625,dur_Shopping,dur_News...Magazines,dur_Productivity,freq_Medical,freq_calls,dur_Shopping,dur_News...Magazines,0.6285714286
21,51,Extraversion,0,0,0.5625,4.38E-01,dur_calls,dur_Productivity,freq_Medical,dur_Medical,dur_Shopping,dur_calls,dur_Productivity,0.6285714286
22,20,Extraversion,0,0,0.53125,0.46875,dur_Shopping,freq_Medical,dur_News...Magazines,freq_Sports,dur_Medical,dur_Shopping,dur_News...Magazines,0.6285714286
23,8,Extraversion,0,0,0.578125,0.421875,dur_Shopping,dur_Productivity,dur_Medical,freq_Sports,freq_Business,dur_Shopping,dur_Productivity,0.6285714286
24,90,Extraversion,0,0,0.671875,0.328125,freq_calls,dur_Shopping,dur_Productivity,freq_Medical,freq_Sports,freq_calls,dur_Communication,0.6285714286
25,67,Extraversion,1,0,6.25E-01,3.75E-01,freq_calls,dur_Lifestyle,freq_Medical,freq_Sports,dur_Shopping,freq_calls,dur_Lifestyle,0.6285714286
26,77,Extraversion,1,1,0.390625,0.609375,freq_calls,dur_Shopping,dur_Productivity,freq_Sports,freq_Medical,freq_calls,freq_Sports,0.6285714286
27,114,Extraversion,0,0,0.515625,0.484375,freq_calls,dur_Productivity,dur_Communication,freq_Medical,dur_Lifestyle,freq_calls,freq_Medical,0.6285714286
28,14,Extraversion,0,1,0.4375,0.5625,dur_Shopping,dur_Communication,freq_Music...Audio,dur_Productivity,freq_Medical,dur_Shopping,dur_Productivity,0.6285714286
