index,instance,trait,trait_real,trait_predicted,low_prob,high_prob,most_contribute,most_contribute_2,most_contribute_3,most_contribute_4,most_contribute_5,most_contribute_to_low,most_contribute_to_high,accuracy
0,82,Extraversion,1,0,0.5,0.5,freq_Social,freq_Communication,freq_Unknown,freq_Shopping,dur_Shopping,freq_Communication,freq_Social,0.6
1,120,Extraversion,0,1,0.47201021,0.52798979,freq_Unknown,freq_Social,freq_Communication,freq_calls,freq_Business,freq_Communication,freq_Unknown,0.6
2,52,Extraversion,0,0,0.48344661,0.51655339,freq_Unknown,dur_Shopping,freq_Music...Audio,freq_Shopping,freq_calls,freq_Shopping,freq_Unknown,0.6
3,16,Extraversion,1,0,0.4837831,0.5162169,freq_Social,freq_Unknown,dur_Shopping,dur_Comics,freq_Communication,freq_Unknown,freq_Social,0.6
4,72,Extraversion,1,0,0.48332017,0.51667983,freq_Social,freq_Unknown,freq_calls,freq_Browser,freq_News...Magazines,freq_Social,freq_Communication,0.6
5,109,Extraversion,0,0,0.48382833,0.51617167,freq_Unknown,freq_Social,freq_Communication,freq_News...Magazines,dur_Shopping,freq_Unknown,freq_Communication,0.6
6,17,Extraversion,1,1,0.48246607,0.51753393,freq_Unknown,dur_Shopping,freq_calls,dur_Games,dur_Health...Fitness,freq_Unknown,dur_Health...Fitness,0.6
7,118,Extraversion,1,0,0.48380487,0.51619513,freq_Social,freq_Unknown,freq_Communication,dur_Shopping,dur_Health...Fitness,freq_Social,freq_Communication,0.6
8,105,Extraversion,1,0,0.48627359,0.51372641,freq_Unknown,freq_Communication,freq_Social,freq_calls,dur_Games,freq_Communication,freq_Unknown,0.6
9,75,Extraversion,0,0,0.48363636,0.51636364,freq_Social,freq_Unknown,dur_Health...Fitness,freq_calls,freq_Communication,freq_Social,dur_Health...Fitness,0.6
10,73,Extraversion,0,1,0.47903009,0.52096991,freq_Unknown,freq_Social,freq_Communication,freq_calls,dur_Shopping,freq_Unknown,freq_Communication,0.6
11,44,Extraversion,0,0,0.48358391,0.51641609,freq_Social,freq_Unknown,dur_Comics,dur_Health...Fitness,dur_Shopping,freq_Social,dur_Entertainment,0.6
12,64,Extraversion,0,0,0.48364096,0.51635904,freq_Unknown,dur_Shopping,dur_Books...Reference,freq_Games,dur_Health...Fitness,freq_Unknown,freq_Games,0.6
13,26,Extraversion,1,1,0.48309219,0.51690781,freq_Social,freq_Unknown,dur_Shopping,freq_Communication,dur_Health...Fitness,freq_Social,freq_Communication,0.6
14,122,Extraversion,1,1,0.47997257,0.52002743,freq_Social,freq_Unknown,dur_Shopping,freq_calls,dur_Health...Fitness,freq_Social,freq_calls,0.6
15,61,Extraversion,0,0,0.4835351,0.5164649,freq_Unknown,freq_Social,dur_Health...Fitness,dur_Shopping,dur_Games,freq_Unknown,freq_Tools,0.6
16,124,Extraversion,0,0,0.48350461,0.51649539,freq_Unknown,freq_Social,dur_Games,freq_Communication,dur_Health...Fitness,freq_Unknown,freq_Communication,0.6
17,97,Extraversion,1,1,0.48121198,0.51878802,freq_Unknown,freq_Social,freq_Communication,freq_Music...Audio,freq_calls,freq_Social,freq_Unknown,0.6
18,2,Extraversion,0,1,0.48321967,0.51678033,freq_Unknown,freq_Shopping,dur_Health...Fitness,freq_Games,freq_Browser,freq_Unknown,freq_Games,0.6
19,48,Extraversion,1,0,0.48438545,0.51561455,freq_Unknown,freq_Social,dur_Health...Fitness,dur_Shopping,dur_Games,freq_Unknown,freq_Shopping,0.6
20,78,Extraversion,0,1,0.48193396,0.51806604,freq_Communication,freq_Social,freq_Unknown,dur_Shopping,dur_Health...Fitness,freq_Communication,freq_Browser,0.6
21,51,Extraversion,0,0,0.48348333,0.51651667,freq_Social,freq_Unknown,dur_Health...Fitness,dur_Comics,freq_Games,freq_Unknown,freq_Social,0.6
22,20,Extraversion,0,0,0.48381413,0.51618587,freq_Social,freq_Unknown,dur_Shopping,freq_News...Magazines,freq_calls,freq_Unknown,freq_Social,0.6
23,8,Extraversion,0,0,0.48683554,0.51316446,freq_Unknown,freq_Communication,freq_Business,freq_Books...Reference,dur_News...Magazines,freq_Communication,freq_Unknown,0.6
24,90,Extraversion,0,1,0.47021066,0.52978934,freq_Unknown,freq_Social,freq_Music...Audio,dur_Shopping,dur_Health...Fitness,dur_Shopping,freq_Unknown,0.6
25,67,Extraversion,1,0,0.49001285,0.50998715,freq_Unknown,freq_Social,freq_Communication,freq_Music...Audio,freq_Tools,freq_Communication,freq_Unknown,0.6
26,77,Extraversion,1,1,0.48325906,0.51674094,freq_Unknown,freq_Social,dur_Shopping,freq_calls,freq_Games,freq_Unknown,dur_Games,0.6
27,114,Extraversion,0,0,0.48427811,0.51572189,freq_Unknown,freq_Social,freq_Shopping,freq_Communication,freq_News...Magazines,freq_Shopping,freq_Unknown,0.6
28,14,Extraversion,0,0,0.48348132,0.51651868,freq_Social,freq_Unknown,freq_Communication,dur_Shopping,freq_Shopping,freq_Social,freq_Communication,0.6
29,54,Extraversion,1,1,0.48246521,0.51753479,freq_Unknown,freq_Social,freq_Communication,dur_Health...Fitness,dur_Shopping,freq_Unknown,freq_Communication,0.6
30,13,Extraversion,0,0,0.4836652,0.5163348,freq_Social,freq_Unknown,freq_calls,freq_News...Magazines,dur_Shopping,freq_Social,freq_calls,0.6
31,103,Extraversion,1,0,0.48756764,0.51243236,freq_Social,freq_Communication,freq_Unknown,freq_News...Magazines,dur_Health...Fitness,freq_Communication,freq_Social,0.6
32,43,Extraversion,1,0,0.48409525,0.51590475,freq_Unknown,freq_Social,dur_Shopping,freq_Communication,freq_Books...Reference,freq_Social,freq_Unknown,0.6
33,7,Extraversion,1,1,0.4805803,0.5194197,freq_Social,freq_Communication,freq_Unknown,freq_calls,freq_Music...Audio,freq_Communication,freq_Social,0.6
34,108,Extraversion,0,0,0.48349423,0.51650577,freq_Social,freq_Unknown,freq_Shopping,dur_Health...Fitness,freq_Communication,freq_Social,dur_Health...Fitness,0.6
