,Trait,Features,Support,Ranking
10,Emotional Stability,Freq. Personality,True,1
21,Emotional Stability,Freq. Business,True,1
30,Emotional Stability,Freq. Comics,True,1
49,Emotional Stability,Dur. Lifestyle,True,1
50,Emotional Stability,Dur. Transportation,True,1
19,Extraversion,Freq. Medical,True,1
24,Extraversion,Freq. Weather,True,1
32,Extraversion,Dur. Tools,True,1
37,Extraversion,Dur. Personalization,True,1
40,Extraversion,Dur. Photography,True,1
28,Openness,Freq. Media/Video,True,1
32,Openness,Dur. Tools,True,1
39,Openness,Dur. Unknown,True,1
40,Openness,Dur. Photography,True,1
57,Openness,Dur. Comics,True,1
21,Conscientiousness,Freq. Business,True,1
39,Conscientiousness,Dur. Unknown,True,1
43,Conscientiousness,Dur. Books/Reference,True,1
52,Conscientiousness,Dur. Sports,True,1
57,Conscientiousness,Dur. Comics,True,1
10,Agreeableness,Freq. Personality,True,1
19,Agreeableness,Freq. Medical,True,1
30,Agreeableness,Freq. Comics,True,1
39,Agreeableness,Dur. Unknown,True,1
46,Agreeableness,Dur. Medical,True,1
