,Trait,Features,Support,Ranking
5,Emotional Stability,Freq. Tools,True,1
9,Emotional Stability,Freq. Productivity,True,1
23,Emotional Stability,Freq. Transportation,True,1
48,Emotional Stability,Dur. Business,True,1
53,Emotional Stability,Dur. Browser,True,1
4,Extraversion,Freq. Calls,True,1
15,Extraversion,Freq. Communication,True,1
31,Extraversion,Dur. Calls,True,1
32,Extraversion,Dur. Tools,True,1
42,Extraversion,Dur. Communication,True,1
5,Openness,Freq. Tools,True,1
8,Openness,Freq. Entertainment,True,1
17,Openness,Freq. Travel/Local,True,1
29,Openness,Freq. Social,True,1
32,Openness,Dur. Tools,True,1
4,Conscientiousness,Freq. Calls,True,1
5,Conscientiousness,Freq. Tools,True,1
35,Conscientiousness,Dur. Entertainment,True,1
39,Conscientiousness,Dur. Unknown,True,1
44,Conscientiousness,Dur. Travel/Local,True,1
12,Agreeableness,Freq. Unknown,True,1
13,Agreeableness,Freq. Photography,True,1
15,Agreeableness,Freq. Communication,True,1
17,Agreeableness,Freq. Travel/Local,True,1
39,Agreeableness,Dur. Unknown,True,1
